Date,Home,HG,Away,AG
2022-05-18,NSH,2,MTL,1
2022-05-18,HOU,0,SEA,1
2022-05-18,MIN,1,LAG,1
2022-05-18,PHI,0,MIA,0
2022-05-18,DCU,0,NYC,2
2022-05-18,NYRB,3,CHI,3
2022-05-15,SEA,3,MIN,1
2022-05-15,ATL,2,NER,2
2022-05-14,LAG,1,FCD,3
2022-05-14,POR,7,SKC,2
2022-05-14,RSL,2,ATX,1
2022-05-14,MIA,2,DCU,2
2022-05-14,HOU,2,NSH,0
2022-05-14,CHI,1,CIN,1
2022-05-14,PHI,1,NYRB,1
2022-05-14,NYC,2,CLB,0
2022-05-14,CLT,0,MTL,2
2022-05-14,VAN,3,SJE,3
2022-05-14,COL,2,LAFC,0
2022-05-14,TOR,0,ORL,1
2022-05-08,ATX,0,LAG,1
2022-05-08,NSH,2,RSL,0
2022-05-08,VAN,1,TOR,0
2022-05-07,LAFC,2,PHI,2
2022-05-07,SJE,1,COL,0
2022-05-07,FCD,2,SEA,0
2022-05-07,MIN,0,CIN,1
2022-05-07,NER,2,CLB,2
2022-05-07,DCU,2,HOU,0
2022-05-07,NYRB,1,POR,1
2022-05-07,NYC,0,SKC,0
2022-05-07,ATL,4,CHI,1
2022-05-07,MTL,4,ORL,1
2022-05-07,CLT,1,MIA,0
2022-05-04,CIN,2,TOR,0
2022-05-01,LAFC,2,MIN,0
2022-05-01,NSH,1,PHI,1
2022-05-01,NYC,3,SJE,0
2022-04-30,COL,2,POR,0
2022-04-30,SKC,2,FCD,2
2022-04-30,CHI,1,NYRB,2
2022-04-30,ORL,2,CLT,1
2022-04-30,NER,2,MIA,0
2022-04-30,CLB,3,DCU,0
2022-04-30,MTL,2,ATL,1
2022-04-30,RSL,1,LAG,0
2022-04-30,TOR,1,CIN,2
2022-04-30,HOU,1,ATX,2
2022-04-24,CIN,1,LAFC,2
2022-04-24,NYC,5,TOR,4
2022-04-24,ORL,0,NYRB,3
2022-04-24,MIA,2,ATL,1
2022-04-23,LAG,1,NSH,0
2022-04-23,SJE,4,SEA,3
2022-04-23,POR,0,RSL,0
2022-04-23,COL,0,CLT,0
2022-04-23,SKC,0,CLB,0
2022-04-23,ATX,3,VAN,0
2022-04-23,DCU,3,NER,2
2022-04-23,MIN,3,CHI,0
2022-04-23,PHI,1,MTL,1
2022-04-23,FCD,2,HOU,1
2022-04-17,LAFC,3,SKC,0
2022-04-17,NYC,6,RSL,0
2022-04-16,SEA,0,MIA,1
2022-04-16,DCU,2,ATX,3
2022-04-16,MIN,3,COL,1
2022-04-16,CHI,0,LAG,0
2022-04-16,NER,2,CLT,1
2022-04-16,CLB,0,ORL,2
2022-04-16,TOR,2,PHI,1
2022-04-16,NYRB,0,FCD,0
2022-04-16,ATL,0,CIN,0
2022-04-16,HOU,0,POR,0
2022-04-16,SJE,2,NSH,2
2022-04-16,MTL,2,VAN,1
2022-04-10,ATX,1,MIN,0
2022-04-10,CLT,1,ATL,0
2022-04-09,VAN,2,POR,3
2022-04-09,FCD,3,COL,1
2022-04-09,SKC,1,NSH,2
2022-04-09,HOU,4,SJE,3
2022-04-09,RSL,2,TOR,2
2022-04-09,LAG,2,LAFC,1
2022-04-09,PHI,0,CLB,0
2022-04-09,NYRB,1,MTL,2
2022-04-09,MIA,3,NER,2
2022-04-09,ORL,1,CHI,0
2022-04-03,POR,1,LAG,2
2022-04-02,MIA,1,HOU,3
2022-04-02,COL,1,RSL,1
2022-04-02,MIN,1,SEA,1
2022-04-02,VAN,1,SKC,0
2022-04-02,DCU,0,ATL,1
2022-04-02,SJE,2,ATX,2
2022-04-02,ORL,2,LAFC,4
2022-04-02,NER,0,NYRB,0
2022-04-02,PHI,2,CLT,0
2022-04-02,CLB,0,NSH,1
2022-04-02,CIN,2,MTL,4
2022-04-02,TOR,1,NYC,1
2022-04-02,CHI,0,FCD,0
2022-03-27,POR,1,ORL,1
2022-03-26,SKC,1,RSL,0
2022-03-26,CLT,2,CIN,0
2022-03-20,LAFC,3,VAN,1
2022-03-20,ATX,1,SEA,1
2022-03-20,NYRB,1,CLB,1
2022-03-19,RSL,2,NSH,1
2022-03-19,HOU,1,COL,1
2022-03-19,FCD,4,POR,1
2022-03-19,MIN,1,SJE,0
2022-03-19,CLT,3,NER,1
2022-03-19,CHI,3,SKC,1
2022-03-19,ATL,3,MTL,3
2022-03-19,LAG,0,ORL,1
2022-03-19,TOR,2,DCU,1
2022-03-19,NYC,0,PHI,2
2022-03-19,CIN,3,MIA,1
2022-03-13,NYRB,0,MIN,1
2022-03-13,ATL,2,CLT,1
2022-03-12,POR,1,ATX,0
2022-03-12,COL,2,SKC,0
2022-03-12,FCD,2,NSH,0
2022-03-12,NER,2,RSL,3
2022-03-12,ORL,1,CIN,2
2022-03-12,PHI,2,SJE,0
2022-03-12,DCU,0,CHI,2
2022-03-12,HOU,2,VAN,1
2022-03-12,SEA,3,LAG,2
2022-03-12,MIA,0,LAFC,2
2022-03-12,CLB,2,TOR,1
2022-03-12,NYC,4,MTL,1
2022-03-06,LAFC,1,POR,1
2022-03-06,ATX,5,MIA,1
2022-03-05,CLT,0,LAG,1
2022-03-05,MIN,1,NSH,1
2022-03-05,RSL,1,SEA,0
2022-03-05,VAN,0,NYC,0
2022-03-05,COL,3,ATL,0
2022-03-05,CIN,0,DCU,1
2022-03-05,CHI,0,ORL,0
2022-03-05,SJE,3,CLB,3
2022-03-05,MTL,1,PHI,2
2022-03-05,SKC,1,HOU,0
2022-03-05,TOR,1,NYRB,4
2022-03-05,NER,1,FCD,0
