PLAYER_ID,NAME,SEASON,Base,Total
104,Sergio Santos,2022,"850,000.00  $","918,500.00  $"
105,Lassi Lappalainen,2022,"510,000.00  $","540,000.00  $"
106,Júnior Urso,2022,"750,000.00  $","780,000.00  $"
107,Maikel Chang,2022,"98,261.00  $","98,261.00  $"
108,Robert Taylor,2022,"252,000.00  $","278,900.00  $"
109,Héber,2022,"825,000.00  $","914,000.00  $"
110,Thiago Andrade,2022,"180,000.00  $","199,600.00  $"
111,Cristian Cásseres Jr,2022,"230,000.00  $","274,000.00  $"
112,Jonathan Osorio,2022,"1,000,000.00  $","1,026,250.00  $"
113,Ben Bender,2022,"65,500.00  $","83,000.00  $"
114,Lorenzo Insigne,2022,"14,000,000.00  $","14,000,000.00  $"
115,Thorleifur Úlfarsson,2022,"65,500.00  $","77,699.00  $"
116,Álvaro Barreal,2022,"350,000.00  $","350,000.00  $"
117,Ethan Finlay,2022,"350,000.00  $","350,000.00  $"
118,Samuel Grandsir,2022,"900,000.00  $","988,427.00  $"
119,Franco Jara,2022,"2,540,000.00  $","3,227,000.00  $"
120,Andrew Gutman,2022,"300,000.00  $","331,250.00  $"
121,Kellyn Acosta,2022,"1,100,000.00  $","1,215,000.00  $"
122,Omir Fernandez,2022,"140,000.00  $","155,000.00  $"
123,Miguel Berry,2022,"120,000.00  $","120,000.00  $"
124,Luquinhas,2022,"1,050,000.00  $","1,173,120.00  $"
125,Joaquín Torres,2022,"230,000.00  $","279,800.00  $"
126,Cristian Dájome,2022,"750,000.00  $","815,625.00  $"
127,Victor Wanyama,2022,"2,400,000.00  $","3,091,670.00  $"
128,Brian Gutierrez,2022,"104,000.00  $","105,900.00  $"
129,Tom Barlow,2022,"175,000.00  $","188,151.00  $"
130,Douglas Costa,2022,"3,000,000.00  $","4,508,330.00  $"
131,Sebastian Lletget,2022,"900,000.00  $","1,023,750.00  $"
132,Orrin McKinze Gaines II,2022,"84,000.00  $","86,750.00  $"
133,Walker Zimmerman,2022,"2,088,240.00  $","2,345,210.00  $"
134,Cade Cowell,2022,"545,455.00  $","635,364.00  $"
135,Felipe Hernandez,2022,"85,444.00  $","119,153.00  $"
136,Michael Estrada,2022,"300,000.00  $","425,700.00  $"
137,Jáder Obrian,2022,"382,500.00  $","467,100.00  $"
138,Jean Mota,2022,"700,000.00  $","805,000.00  $"
139,Dom Dwyer,2022,"84,000.00  $","84,000.00  $"
140,Teal Bunbury,2022,"400,000.00  $","444,167.00  $"
141,Corey Baird,2022,"440,000.00  $","471,031.00  $"
142,Adam Buksa,2022,"1,000,000.00  $","1,106,250.00  $"
143,Brian Rodríguez,2022,"805,000.00  $","1,144,800.00  $"
144,Andre Shinyashiki,2022,"140,000.00  $","150,000.00  $"
145,Alex Muyl,2022,"325,000.00  $","331,562.00  $"
146,Diego Palacios,2022,"486,000.00  $","510,000.00  $"
147,Luis Díaz,2022,"375,000.00  $","408,900.00  $"
148,Adalberto Carrasquilla,2022,"418,908.00  $","469,132.00  $"
149,Denis Bouanga,2022,"2,083,330.00  $","2,083,330.00  $"
150,Mark-Anthony Kaye,2022,"700,000.00  $","700,000.00  $"
151,Benjamin Kikanovic,2022,"85,444.00  $","91,219.00  $"
152,Cristhian Paredes,2022,"252,000.00  $","350,000.00  $"
153,Alexander Callens,2022,"750,000.00  $","814,000.00  $"
154,Rayan Raveloson,2022,"780,000.00  $","855,025.00  $"
155,Dominique Badji,2022,"500,000.00  $","555,000.00  $"
156,Kamil Jozwiak,2022,"900,000.00  $","1,017,000.00  $"
157,Ayo Akinola,2022,"600,000.00  $","671,875.00  $"
158,Julian Araujo,2022,"575,000.00  $","678,750.00  $"
159,Memo Rodríguez,2022,"285,000.00  $","310,935.00  $"
160,Riqui Puig,2022,"1,612,500.00  $","1,695,000.00  $"
161,Bobby Wood,2022,"925,000.00  $","1,018,160.00  $"
162,Julio Cascante,2022,"310,000.00  $","337,500.00  $"
163,Roger Espinoza,2022,"300,000.00  $","300,000.00  $"
164,John Tolkin,2022,"100,000.00  $","105,000.00  $"
165,Chris Durkin,2022,"400,000.00  $","445,000.00  $"
166,Albert Rusnák,2022,"1,800,000.00  $","1,871,670.00  $"
167,Andrew Brody,2022,"190,000.00  $","215,678.00  $"
168,Emmanuel Boateng,2022,"225,000.00  $","225,000.00  $"
169,DeJuan Jones,2022,"350,000.00  $","370,000.00  $"
170,Christian Benteke,2022,"4,000,000.00  $","4,182,780.00  $"
171,Víctor Vázquez,2022,"440,000.00  $","440,000.00  $"
172,Bryce Duke,2022,"122,000.00  $","122,000.00  $"
173,Dax McCarty,2022,"475,000.00  $","517,500.00  $"
174,Alistair Johnston,2022,"400,000.00  $","445,625.00  $"
175,Ryan Hollingshead,2022,"393,750.00  $","393,750.00  $"
176,Benji Michel,2022,"115,000.00  $","121,303.00  $"
