"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Matías Vera","HOU","2022","M","$550,000","$622,812","2022-09-02"
"","Nigel Robertha","DCU","2023","F","$550,000","$622,542","2023-04-30"
"","Nigel Robertha","DCU","2021","F","$550,000","$622,406","2021-04-15"
"","Nigel Robertha","DCU","2021","F","$550,000","$622,406","2021-09-30"
"","Nigel Robertha","DCU","2022","F","$550,000","$622,406","2022-04-15"
"","Nigel Robertha","DCU","2022","F","$550,000","$622,406","2022-09-02"
"","Steve Clark","HOU","2022","GK","$560,000","$620,031","2022-04-15"
"","Steve Clark","HOU","2022","GK","$560,000","$620,031","2022-09-02"
"","Franco Ibarra","ATL","2023","D","$550,000","$620,000","2023-04-30"
"","Steve Clark","HOU","2023","GK","$560,000","$619,281","2023-04-30"
"","Ismael Tajouri-Shradi","NYC","2021","F","$577,500","$618,985","2021-04-15"
"","Ismael Tajouri-Shradi","NYC","2021","F","$577,500","$618,985","2021-09-30"
"","C.J. Sapong","TOR","2023","F","$600,000","$616,667","2023-04-30"
"","Artur","CLB","2022","M","$564,000","$615,633","2022-04-15"
"","Artur","CLB","2022","M","$564,000","$615,633","2022-09-02"
"","Sergii Kryvstov","MIA","2023","D","$555,500","$614,500","2023-04-30"
"","Michael Bradley","TOR","2023","M","$614,286","$614,286","2023-04-30"
"","Dylan Borrero","NER","2022","F","$550,000","$613,962","2022-09-02"
"","Sergio Ruiz","CLT","2022","M","$550,000","$613,000","2022-04-15"
"","Brad Guzan","ATL","2023","GK","$600,000","$612,500","2023-04-30"
"","Dejan Joveljic","LAG","2021","F","$612,500","$612,500","2021-09-30"
"","Dejan Joveljic","LAG","2022","F","$612,500","$612,500","2022-04-15"
"","Dejan Joveljic","LAG","2022","F","$612,500","$612,500","2022-09-02"
"","Santiago Rodríguez","NYC","2021","M","$612,500","$612,500","2021-09-30"
"","Santiago Rodríguez","NYC","2022","M","$612,500","$612,500","2022-04-15"
"","Santiago Rodríguez","NYC","2022","M","$612,500","$612,500","2022-09-02"
"","Marinos Tzionis","SKC","2022","F","$612,500","$612,500","2022-04-15"
"","Marinos Tzionis","SKC","2022","F","$612,500","$612,500","2022-09-02"
"","Niko Hämäläinen","LAG","2021","D","$612,500","$612,500","2021-09-30"
"","Chris Mueller","CHI","2022","M","$549,996","$612,316","2022-09-02"
"","Efrain Álvarez","LAG","2021","M","$500,000","$612,167","2021-09-30"
"","Calegari","LAG","2023","D","$550,000","$611,564","2023-04-30"
"","Nuno Santos","CLT","2023","M","$550,000","$611,387","2023-04-30"
"","Santiago Arias","CIN","2023","D","$550,000","$611,354","2023-04-30"
