,Date,Home,HG,Away,AG
388,2023-04-08,NSH,0,TOR,0
389,2023-04-08,NYC,1,ATL,1
390,2023-04-08,MIA,0,FCD,1
391,2023-04-08,CIN,1,PHI,0
392,2023-04-08,NER,4,MTL,0
393,2023-04-08,NYRB,1,SJE,1
394,2023-04-08,DCU,0,CLB,2
395,2023-04-08,LAFC,3,ATX,0
396,2023-04-01,VAN,5,MTL,0
397,2023-04-01,SJE,2,HOU,1
398,2023-04-01,COL,0,LAFC,0
399,2023-04-01,PHI,0,SKC,0
400,2023-04-01,FCD,1,POR,1
401,2023-04-01,CHI,0,DCU,0
402,2023-04-01,STL,0,MIN,1
403,2023-04-01,LAG,1,SEA,2
404,2023-04-01,ORL,0,NSH,2
405,2023-04-01,TOR,2,CLT,2
406,2023-04-01,CIN,1,MIA,0
407,2023-04-01,ATL,1,NYRB,0
408,2023-04-01,CLB,4,RSL,0
409,2023-04-01,NER,1,NYC,1
410,2023-03-25,SJE,0,TOR,0
411,2023-03-25,LAFC,2,FCD,1
412,2023-03-25,RSL,0,STL,4
413,2023-03-25,SKC,1,SEA,4
414,2023-03-25,ATX,1,COL,1
415,2023-03-25,MIN,1,VAN,1
416,2023-03-25,NSH,0,CIN,1
417,2023-03-25,HOU,1,NYC,0
418,2023-03-25,CLT,0,NYRB,1
419,2023-03-25,PHI,1,ORL,2
420,2023-03-25,DCU,1,NER,2
421,2023-03-25,CLB,6,ATL,1
422,2023-03-25,MIA,2,CHI,3
423,2023-03-25,POR,0,LAG,0
424,2023-03-18,LAG,1,VAN,1
425,2023-03-18,COL,1,MIN,2
426,2023-03-18,HOU,2,ATX,0
427,2023-03-18,CHI,3,CIN,3
428,2023-03-18,STL,3,SJE,0
429,2023-03-18,FCD,2,SKC,1
430,2023-03-18,ATL,5,POR,1
431,2023-03-18,NYC,3,DCU,2
432,2023-03-18,NYRB,2,CLB,1
433,2023-03-18,ORL,1,CLT,2
434,2023-03-18,NER,1,NSH,0
435,2023-03-18,TOR,2,MIA,0
436,2023-03-18,MTL,3,PHI,2
437,2023-03-18,SEA,0,LAFC,0
438,2023-03-12,LAFC,4,NER,0
439,2023-03-11,SJE,1,COL,0
440,2023-03-11,POR,1,STL,2
441,2023-03-11,RSL,1,ATX,2
442,2023-03-11,MIN,1,NYRB,1
443,2023-03-11,NSH,2,MTL,0
444,2023-03-11,SKC,0,LAG,0
445,2023-03-11,TOR,1,CLB,1
446,2023-03-11,DCU,1,ORL,1
447,2023-03-11,NYC,0,MIA,0
448,2023-03-11,PHI,1,CHI,0
449,2023-03-11,CIN,1,SEA,0
450,2023-03-11,VAN,0,FCD,1
451,2023-03-11,CLT,0,ATL,3
452,2023-03-04,SEA,2,RSL,0
453,2023-03-04,SJE,2,VAN,1
454,2023-03-04,COL,0,SKC,0
