"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2023-09-02","19:30 CDT","FCD","2","2.60","2.60","ATL","2","0.81","0.81","0","1.79","1.79","0","2.59","0.28"
"2023-09-02","19:30 CDT","SKC","2","1.49","1.55","STL","1","0.38","0.38","1","1.12","1.17","1","2.32","0.45"
"2023-09-02","19:30 CDT","NSH","1","1.52","1.52","CLT","1","0.58","0.58","0","0.94","0.95","0","2.21","0.55"
"2023-09-02","18:30 CDT","NER","2","1.23","1.23","ATX","2","0.99","0.99","0","0.24","0.24","0","1.49","1.21"
"2023-09-02","18:30 CDT","DCU","3","1.41","1.41","CHI","0","1.26","1.26","3","0.15","0.15","4","1.54","1.19"
"2023-09-02","18:30 CDT","MTL","2","2.17","2.20","CLB","3","2.19","2.19","-1","-0.02","0.01","-2","1.31","1.46"
"2023-09-02","18:30 CDT","CIN","0","0.88","0.88","ORL","1","1.32","1.33","-1","-0.44","-0.45","-1","0.96","1.75"
"2023-09-02","14:30 CDT","NYC","1","1.15","1.15","VAN","1","1.16","1.16","0","-0.01","-0.01","0","1.23","1.44"
"2023-08-30","21:30 CDT","SJE","1","1.67","1.67","LAG","3","1.52","1.52","-2","0.14","0.14","-1","1.45","1.27"
"2023-08-30","21:30 CDT","POR","2","0.66","0.66","RSL","1","0.96","0.96","1","-0.30","-0.31","1","1.09","1.55"
"2023-08-30","19:30 CDT","ATX","1","1.60","1.60","SEA","2","1.63","1.65","-1","-0.03","-0.05","-1","1.40","1.33"
"2023-08-30","19:30 CDT","MIN","3","2.60","2.64","COL","0","0.63","0.64","3","1.97","2.00","3","2.71","0.19"
"2023-08-30","19:30 CDT","HOU","2","2.06","2.46","CLB","0","0.57","0.57","2","1.49","1.89","2","2.48","0.36"
"2023-08-30","19:30 CDT","STL","2","1.18","1.18","FCD","1","0.85","0.85","1","0.33","0.33","1","1.57","1.10"
"2023-08-30","19:30 CDT","CHI","0","1.23","1.23","VAN","1","2.27","2.27","-1","-1.04","-1.04","-1","0.61","2.22"
"2023-08-30","18:30 CDT","MIA","0","1.05","1.05","NSH","0","0.53","0.53","0","0.52","0.52","0","1.88","0.82"
"2023-08-30","18:30 CDT","ATL","1","0.82","0.82","CIN","2","2.22","2.23","-1","-1.40","-1.41","-1","0.45","2.37"
"2023-08-30","18:30 CDT","CLT","1","1.32","1.32","ORL","1","0.61","0.61","0","0.71","0.71","0","2.10","0.64"
"2023-08-30","18:30 CDT","NYC","2","1.57","1.57","MTL","0","0.88","0.88","2","0.69","0.69","2","1.84","0.88"
"2023-08-30","18:30 CDT","NER","1","1.13","1.13","NYRB","0","0.50","0.50","1","0.63","0.63","1","1.90","0.79"
"2023-08-30","18:30 CDT","TOR","3","1.37","1.37","PHI","1","2.18","2.27","2","-0.81","-0.90","2","0.85","1.91"
"2023-08-27","15:30 CDT","MIN","0","1.02","1.02","SEA","1","0.63","0.63","-1","0.40","0.39","0","1.71","0.93"
"2023-08-26","21:30 CDT","LAG","3","1.91","1.92","CHI","0","0.92","0.98","3","0.99","0.94","3","2.14","0.65"
"2023-08-26","21:30 CDT","POR","2","2.10","2.15","VAN","3","2.57","2.66","-1","-0.47","-0.52","-1","1.02","1.76"
"2023-08-26","20:30 CDT","RSL","0","0.53","0.54","HOU","3","0.84","0.84","-3","-0.31","-0.30","-3","1.04","1.58"
"2023-08-26","19:30 CDT","FCD","1","0.80","0.82","ATX","0","0.58","0.58","1","0.22","0.24","1","1.53","1.09"
"2023-08-26","19:30 CDT","SKC","3","0.95","0.95","SJE","0","1.63","1.63","3","-0.68","-0.68","3","0.74","1.99"
"2023-08-26","18:30 CDT","DCU","1","1.54","1.66","PHI","3","2.59","2.59","-2","-1.05","-0.93","-2","0.68","2.12"
"2023-08-26","18:30 CDT","CIN","3","1.14","1.25","NYC","0","1.24","1.24","3","-0.11","0.00","3","1.24","1.48"
"2023-08-26","18:30 CDT","CLB","2","2.84","2.88","TOR","0","1.11","1.11","2","1.74","1.78","2","2.37","0.48"
"2023-08-26","18:30 CDT","NYRB","0","1.04","1.04","MIA","2","1.52","1.59","-2","-0.48","-0.55","-2","1.01","1.72"
"2023-08-26","18:30 CDT","MTL","1","0.96","0.96","NER","0","0.15","0.15","1","0.81","0.81","1","2.17","0.49"
"2023-08-26","18:30 CDT","ATL","4","3.20","3.22","NSH","0","1.11","1.11","4","2.08","2.11","4","2.55","0.33"
"2023-08-26","18:30 CDT","CLT","2","1.98","2.00","LAFC","1","1.73","1.73","1","0.25","0.27","1","1.54","1.23"
"2023-08-26","18:30 CDT","ORL","2","1.56","1.58","STL","1","1.09","1.09","1","0.47","0.49","1","1.72","0.98"
"2023-08-23","21:30 CDT","LAFC","4","2.51","2.55","COL","0","0.68","0.68","4","1.83","1.88","4","2.50","0.36"
"2023-08-20","21:30 CDT","VAN","0","1.81","1.87","SJE","1","0.57","0.57","-1","1.25","1.31","-1","2.33","0.45"
"2023-08-20","21:30 CDT","SEA","0","1.44","1.44","ATL","2","1.45","1.45","-2","-0.01","-0.01","-2","1.38","1.34"
"2023-08-20","20:30 CDT","STL","6","2.08","2.49","ATX","3","2.60","2.64","3","-0.53","-0.15","3","1.04","1.74"
"2023-08-20","19:30 CDT","HOU","5","2.36","2.36","POR","0","0.32","0.32","5","2.05","2.05","5","2.76","0.15"
"2023-08-20","19:30 CDT","CHI","1","0.74","0.74","ORL","3","1.77","1.77","-2","-1.04","-1.03","-2","0.52","2.26"
"2023-08-20","18:30 CDT","NYRB","1","0.57","0.57","DCU","0","0.30","0.30","1","0.27","0.27","1","1.59","0.93"
"2023-08-20","18:30 CDT","CLB","3","2.07","2.13","CIN","0","0.41","0.41","3","1.66","1.72","3","2.62","0.26"
"2023-08-20","18:30 CDT","TOR","2","0.94","0.95","MTL","2","2.05","2.06","0","-1.11","-1.11","-1","0.52","2.28"
"2023-08-20","18:30 CDT","NYC","0","2.27","2.28","MIN","2","0.99","1.00","-2","1.28","1.28","-2","2.32","0.51"
"2023-07-15","21:30 CDT","POR","3","1.61","1.61","CLB","2","2.27","2.27","1","-0.66","-0.66","1","0.97","1.79"
"2023-07-15","21:30 CDT","SEA","0","1.31","1.39","FCD","1","0.31","0.31","-1","1.00","1.08","0","2.26","0.48"
"2023-07-15","21:30 CDT","VAN","4","3.51","3.76","LAG","2","0.56","0.56","2","2.95","3.20","2","2.87","0.10"
"2023-07-15","20:30 CDT","COL","0","0.36","0.36","HOU","0","0.34","0.34","0","0.02","0.02","0","1.27","1.17"
"2023-07-15","20:30 CDT","RSL","3","1.03","1.03","NYRB","1","1.30","1.32","2","-0.27","-0.29","2","1.09","1.61"
"2023-07-15","20:30 CDT","ATX","2","1.55","1.70","SKC","1","0.41","0.42","1","1.14","1.28","1","2.32","0.46"
"2023-07-15","19:59 CDT","STL","3","1.96","1.96","MIA","0","0.50","0.50","3","1.46","1.46","3","2.49","0.35"
"2023-07-15","19:32 CDT","CIN","3","1.71","1.71","NSH","1","0.47","0.47","2","1.23","1.23","2","2.45","0.34"
"2023-07-15","19:30 CDT","CHI","1","1.04","1.04","TOR","0","0.71","0.72","1","0.33","0.32","1","1.61","1.06"
"2023-07-15","19:30 CDT","MIN","1","2.26","2.26","LAFC","1","1.17","1.17","0","1.09","1.09","0","2.07","0.71"
"2023-07-15","18:30 CDT","MTL","2","2.21","2.72","CLT","0","0.38","0.38","2","1.83","2.34","2","2.65","0.24"
"2023-07-15","18:30 CDT","ATL","1","1.00","1.05","ORL","2","1.12","1.12","-1","-0.11","-0.06","-1","1.29","1.41"
"2023-07-15","18:30 CDT","NER","3","1.90","1.90","DCU","0","1.29","1.40","3","0.61","0.49","4","1.90","0.89"
"2023-07-15","18:30 CDT","PHI","2","1.12","1.12","NYC","1","1.09","1.12","1","0.03","0.00","1","1.35","1.32"
"2023-07-12","21:30 CDT","LAFC","3","1.38","1.38","STL","0","0.36","0.37","3","1.02","1.01","3","2.23","0.50"
"2023-07-12","21:30 CDT","SJE","2","1.44","1.45","SEA","0","0.52","0.53","2","0.92","0.92","2","2.27","0.51"
"2023-07-12","21:30 CDT","VAN","2","1.74","1.74","ATX","1","0.57","0.57","1","1.17","1.17","1","2.28","0.50"
"2023-07-12","20:44 CDT","CHI","3","1.35","1.35","MTL","0","1.78","2.16","3","-0.44","-0.81","3","1.02","1.71"
"2023-07-12","20:00 CDT","COL","0","1.22","1.22","POR","0","0.66","0.66","0","0.56","0.56","0","1.92","0.78"
"2023-07-12","19:30 CDT","HOU","0","1.64","1.64","MIN","3","1.62","1.95","-3","0.02","-0.31","-3","1.29","1.46"
"2023-07-12","19:30 CDT","SKC","2","2.03","2.03","RSL","2","1.45","1.48","0","0.59","0.55","0","1.76","1.02"
"2023-07-12","19:30 CDT","NSH","0","1.68","1.89","PHI","2","1.76","1.76","-2","-0.08","0.13","-2","1.26","1.43"
