,Date,Home_team_ID,HG,Away_team_ID,AG,Year
283,2023-05-31,TOR2023,0,CHI2023,0,2023
284,2023-05-31,PHI2023,0,CLT2023,0,2023
285,2023-05-31,CLB2023,3,COL2023,2,2023
286,2023-05-31,ATL2023,3,NER2023,3,2023
287,2023-05-28,NSH2023,3,CLB2023,1,2023
288,2023-05-28,SKC2023,3,POR2023,1,2023
289,2023-05-27,SEA2023,1,NYRB2023,0,2023
290,2023-05-27,LAG2023,0,CLT2023,1,2023
291,2023-05-27,SJE2023,1,FCD2023,1,2023
292,2023-05-27,COL2023,0,CIN2023,1,2023
293,2023-05-27,STL2023,2,VAN2023,1,2023
294,2023-05-27,MIN2023,0,RSL2023,1,2023
295,2023-05-27,HOU2023,2,ATX2023,1,2023
296,2023-05-27,NER2023,3,CHI2023,2,2023
297,2023-05-27,NYC2023,1,PHI2023,3,2023
298,2023-05-27,TOR2023,2,DCU2023,1,2023
299,2023-05-27,MTL2023,1,MIA2023,0,2023
300,2023-05-27,ORL2023,1,ATL2023,1,2023
301,2023-05-20,LAFC2023,2,SJE2023,1,2023
302,2023-05-20,POR2023,0,MIN2023,1,2023
303,2023-05-20,VAN2023,1,SEA2023,0,2023
304,2023-05-20,COL2023,2,RSL2023,3,2023
305,2023-05-20,STL2023,4,SKC2023,0,2023
306,2023-05-20,ATX2023,1,TOR2023,0,2023
307,2023-05-20,CHI2023,2,ATL2023,3,2023
308,2023-05-20,FCD2023,1,HOU2023,1,2023
309,2023-05-20,DCU2023,3,LAG2023,0,2023
310,2023-05-20,CLT2023,1,NSH2023,2,2023
311,2023-05-20,MIA2023,1,ORL2023,3,2023
312,2023-05-20,CIN2023,3,CLB2023,2,2023
313,2023-05-20,NYRB2023,2,MTL2023,1,2023
314,2023-05-20,PHI2023,3,NER2023,0,2023
315,2023-05-17,RSL2023,0,POR2023,0,2023
316,2023-05-17,LAFC2023,1,SKC2023,1,2023
317,2023-05-17,SEA2023,1,ATX2023,2,2023
318,2023-05-17,MIN2023,1,HOU2023,0,2023
319,2023-05-17,FCD2023,2,VAN2023,1,2023
320,2023-05-17,NSH2023,2,MIA2023,1,2023
321,2023-05-17,PHI2023,0,DCU2023,0,2023
322,2023-05-17,CLT2023,2,CHI2023,1,2023
323,2023-05-17,ATL2023,4,COL2023,0,2023
324,2023-05-17,CLB2023,2,LAG2023,0,2023
325,2023-05-17,CIN2023,2,MTL2023,0,2023
326,2023-05-17,ORL2023,1,NYC2023,1,2023
327,2023-05-17,TOR2023,0,NYRB2023,0,2023
328,2023-05-14,LAG2023,2,SJE2023,1,2023
329,2023-05-13,POR2023,3,VAN2023,0,2023
330,2023-05-13,COL2023,1,PHI2023,2,2023
331,2023-05-13,RSL2023,0,LAFC2023,3,2023
332,2023-05-13,HOU2023,0,SEA2023,1,2023
333,2023-05-13,SKC2023,3,MIN2023,0,2023
334,2023-05-13,ATX2023,0,FCD2023,1,2023
335,2023-05-13,MIA2023,2,NER2023,1,2023
336,2023-05-13,CLB2023,2,ORL2023,2,2023
337,2023-05-13,DCU2023,1,NSH2023,1,2023
338,2023-05-13,NYRB2023,1,NYC2023,0,2023
339,2023-05-13,MTL2023,2,TOR2023,0,2023
340,2023-05-13,ATL2023,1,CLT2023,3,2023
341,2023-05-13,CHI2023,1,STL2023,0,2023
342,2023-05-07,SEA2023,1,SKC2023,2,2023
343,2023-05-06,VAN2023,3,MIN2023,2,2023
344,2023-05-06,LAG2023,1,COL2023,3,2023
345,2023-05-06,POR2023,2,ATX2023,2,2023
346,2023-05-06,HOU2023,0,RSL2023,0,2023
347,2023-05-06,NSH2023,3,CHI2023,0,2023
348,2023-05-06,CLT2023,2,NYC2023,2,2023
349,2023-05-06,CIN2023,2,DCU2023,1,2023
350,2023-05-06,MTL2023,1,ORL2023,0,2023
351,2023-05-06,TOR2023,0,NER2023,2,2023
352,2023-05-06,SJE2023,2,LAFC2023,1,2023
353,2023-05-06,NYRB2023,0,PHI2023,1,2023
354,2023-05-06,MIA2023,2,ATL2023,1,2023
355,2023-04-30,MIN2023,0,FCD2023,0,2023
356,2023-04-29,VAN2023,0,COL2023,0,2023
357,2023-04-29,RSL2023,0,SEA2023,0,2023
358,2023-04-29,SKC2023,0,MTL2023,2,2023
359,2023-04-29,ATX2023,2,SJE2023,2,2023
360,2023-04-29,STL2023,1,POR2023,2,2023
361,2023-04-29,CHI2023,1,NYRB2023,1,2023
362,2023-04-29,CLB2023,1,MIA2023,2,2023
363,2023-04-29,TOR2023,1,NYC2023,0,2023
364,2023-04-29,DCU2023,3,CLT2023,0,2023
365,2023-04-29,NER2023,1,CIN2023,1,2023
366,2023-04-29,ORL2023,2,LAG2023,0,2023
367,2023-04-29,NSH2023,3,ATL2023,1,2023
368,2023-04-23,ATL2023,1,CHI2023,1,2023
369,2023-04-22,LAG2023,2,ATX2023,0,2023
370,2023-04-22,SEA2023,1,MIN2023,0,2023
371,2023-04-22,COL2023,1,STL2023,1,2023
372,2023-04-22,RSL2023,3,SJE2023,1,2023
373,2023-04-22,NSH2023,1,LAFC2023,1,2023
374,2023-04-22,HOU2023,1,MIA2023,0,2023
375,2023-04-22,CIN2023,2,POR2023,1,2023
376,2023-04-22,ORL2023,1,DCU2023,3,2023
377,2023-04-22,CLT2023,1,CLB2023,0,2023
378,2023-04-22,NER2023,2,SKC2023,1,2023
379,2023-04-22,MTL2023,1,NYRB2023,0,2023
380,2023-04-22,NYC2023,3,FCD2023,1,2023
381,2023-04-22,PHI2023,3,TOR2023,2,2023
382,2023-04-16,LAG2023,2,LAFC2023,3,2023
383,2023-04-15,STL2023,4,CIN2023,1,2023
384,2023-04-15,POR2023,4,SEA2023,1,2023
385,2023-04-15,SJE2023,3,SKC2023,0,2023
386,2023-04-15,FCD2023,2,RSL2023,1,2023
387,2023-04-15,ATX2023,0,VAN2023,0,2023
