"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Cordell Cato","SJE","2013","W","1123","19","5","1","1.64","0.32","-0.64","18","2","1.70","0.30","3.34","1.34","1.48"
"","Aaron Herrera","RSL","2022","FB","2497","15","3","0","0.56","-0.38","-0.56","24","2","2.79","-0.79","3.34","0.00","0.45"
"","Isaac Atanga","CIN","2021","W","1142","19","8","1","2.01","-0.28","-1.01","8","1","1.33","-0.33","3.34","0.36","1.16"
"","Kyle Duncan","NYRB","2020","FB","2081","13","4","3","0.98","0.52","2.02","14","2","2.36","-0.36","3.34","1.47","0.71"
"","Hassoun Camara","MTL","2013","FB","3116","20","6","3","1.37","0.94","1.63","16","2","1.97","0.03","3.34","2.27","1.12"
"","Masato Kudo","VAN","2016","ST","947","25","14","2","2.56","0.13","-0.56","7","1","0.78","0.22","3.34","1.43","1.92"
"","Chad Marshall","SEA","2018","CB","2815","19","5","4","2.48","0.17","1.52","3","1","0.86","0.14","3.34","2.62","1.29"
"","Lucas Pittinari","COL","2015","DM","2428","34","5","1","1.68","0.42","-0.68","20","1","1.66","-0.66","3.33","0.58","1.40"
"","Justin Meram","CLB","2013","W","867","21","6","1","1.89","-0.48","-0.89","14","1","1.45","-0.45","3.33","0.07","1.67"
"","Matías Pérez García","ORL","2017","W","1027","17","5","1","1.43","-0.43","-0.43","26","2","1.90","0.10","3.33","0.47","0.77"
"","Chris Klute","COL","2013","FB","2916","5","2","0","0.41","-0.20","-0.41","29","6","2.92","3.08","3.33","0.00","0.18"
"","Dairon Asprilla","POR","2018","ST","784","23","9","1","2.40","-0.01","-1.40","6","0","0.92","-0.92","3.32","0.03","1.08"
"","Yohan Croizet","SKC","2019","ST","1213","24","12","3","2.45","-0.09","0.55","12","1","0.88","0.12","3.32","1.21","1.41"
"","Alexandru Mitrita","NYC","2020","W","770","23","9","4","1.88","0.95","2.12","16","2","1.44","0.56","3.32","1.24","0.99"
"","Ricardo Pepi","FCD","2020","ST","543","14","6","2","2.74","-0.23","-0.74","4","1","0.58","0.42","3.32","2.59","1.94"
"","Jozy Altidore","TOR","2021","ST","840","22","9","4","3.10","0.05","0.90","4","0","0.22","-0.22","3.32","3.54","1.61"
"","Darren Yapi","COL","2023","ST","1005","13","4","0","2.55","-1.77","-2.55","8","1","0.77","0.23","3.32","0.00","1.64"
"","Darlington Nagbe","CLB","2022","DM","3358","13","5","3","1.73","0.27","1.27","15","0","1.59","-1.59","3.32","2.06","1.82"
"","Adrian Winter","ORL","2016","W","1040","17","7","3","1.75","0.64","1.25","13","1","1.57","-0.57","3.32","3.37","1.88"
"","Erik Thommy","SKC","2022","CM","948","38","18","3","2.28","0.42","0.72","23","1","1.04","-0.04","3.31","0.58","1.26"
"","Jake Mulraney","ATL","2021","W","1236","25","11","1","2.20","-0.43","-1.20","16","2","1.11","0.89","3.31","0.52","1.36"
"","Paulo Nagamura","SKC","2015","CM","1597","22","6","3","2.18","0.40","0.82","9","1","1.13","-0.13","3.31","2.00","1.59"
"","Sanna Nyassi","MTL, CHI","2014","W","778","18","7","2","2.58","0.67","-0.58","8","1","0.73","0.27","3.31","1.13","1.89"
"","Nick DeLeon","TOR","2020","W","1022","21","4","1","1.28","0.28","-0.28","10","2","2.02","-0.02","3.30","0.00","0.72"
"","Aaron Long","NYRB","2022","CB","2622","19","8","4","2.88","0.54","1.12","7","0","0.42","-0.42","3.30","1.86","1.92"
"","Christian Fuchs","CLT","2022","FB","2143","18","6","3","2.96","-0.22","0.04","7","0","0.34","-0.34","3.30","1.56","1.61"
"","Nick LaBrocca","COL","2014","CM","2788","32","7","1","1.63","0.04","-0.63","24","1","1.66","-0.66","3.29","0.41","1.03"
"","Ryan Hollingshead","FCD","2015","FB","2319","13","4","2","1.09","-0.01","0.91","16","1","2.21","-1.21","3.29","0.62","0.71"
"","Paul Marie","SJE","2022","FB","2401","25","4","1","1.28","0.07","-0.28","28","1","2.02","-1.02","3.29","0.56","0.90"
"","Auro","TOR","2018","FB","1544","12","2","0","0.93","-0.31","-0.93","14","3","2.36","0.64","3.29","0.00","0.55"
"","Shea Salinas","SJE","2017","FB","1565","6","1","1","0.42","0.18","0.58","42","2","2.87","-0.87","3.29","0.08","0.20"
"","Ricardo Clark","HOU","2016","DM","2749","43","13","4","2.66","-0.08","1.34","11","1","0.63","0.37","3.29","2.54","1.89"
"","Saba Lobzhanidze","ATL","2023","W","503","12","8","3","1.61","0.88","1.39","11","4","1.67","2.33","3.29","0.82","0.32"
"","Érik Correa","CHV","2013","ST","1139","18","11","1","2.77","-0.54","-1.77","12","0","0.51","-0.51","3.28","0.57","1.70"
"","Darren Mattocks","VAN","2015","W","944","25","9","3","2.56","1.07","0.44","5","1","0.71","0.29","3.28","1.28","1.78"
"","Jack Elliott","PHI","2021","CB","3289","31","7","2","3.01","-0.68","-1.01","5","1","0.27","0.73","3.27","0.40","1.71"
"","Perry Kitchen","DCU","2014","CM","3022","18","11","5","1.95","2.06","3.05","15","3","1.32","1.68","3.27","1.69","0.88"
"","Andrew Brody","RSL","2023","FB","2506","6","3","0","0.98","-0.41","-0.98","21","2","2.29","-0.28","3.27","0.00","0.74"
"","Daigo Kobayashi","NER","2014","CM","1988","24","6","0","0.99","-0.40","-0.99","33","2","2.28","-0.28","3.26","0.00","0.63"
"","Cole Bassett","COL","2020","AM","1060","22","9","5","2.30","1.67","2.70","11","5","0.96","4.04","3.26","1.67","1.33"
"","Bryan Acosta","FCD","2021","DM","1748","34","8","0","1.16","-0.82","-1.16","23","1","2.10","-1.10","3.26","0.00","0.67"
"","Artur","CLB","2018","DM","3009","43","9","0","1.97","-1.09","-1.97","14","0","1.28","-1.28","3.26","0.00","1.30"
"","Paxton Pomykal","FCD","2021","W","1642","19","7","1","1.92","-0.78","-0.92","14","0","1.33","-1.33","3.25","0.60","1.27"
"","Sean Franklin","DCU","2014","FB","2731","16","3","1","1.24","-0.16","-0.24","21","2","2.01","-0.01","3.25","0.08","0.48"
"","João Paulo","SEA","2020","DM","1614","16","6","2","0.65","1.22","1.35","24","3","2.59","0.41","3.24","0.29","0.31"
"","Jermaine Jones","LAG","2017","DM","1717","21","5","1","1.50","-0.82","-0.50","23","4","1.74","2.26","3.24","0.03","0.83"
"","Ali Ahmed","VAN","2023","CM","1280","15","9","2","1.97","1.71","0.03","12","1","1.27","-0.27","3.24","0.85","0.80"
"","Diego Chara","POR","2018","DM","2627","8","3","2","1.40","0.38","0.60","25","0","1.84","-1.84","3.24","0.61","0.68"
