,Season,Player,Team,Position,Minutes,Shots,SoT,G,Player_ID,Count
55,2021,Marcelino-Moreno,ATL,CM,2799,79,30,9,Marcelino-Moreno-2021-1,1
56,2022,Thiago-Almada,ATL,AM,2622,77,24,6,Thiago-Almada-2022-1,1
57,2021,C.J.-Sapong,NSH,ST,2349,66,34,12,C.J.-Sapong-2021-1,1
58,2023,Sebastián-Driussi,ATX,AM,2460,76,31,11,Sebastián-Driussi-2023-1,1
59,2023,Karol-Swiderski,CLT,ST,2584,78,26,12,Karol-Swiderski-2023-1,1
60,2021,Felipe-Mora,POR,ST,2211,65,26,11,Felipe-Mora-2021-1,1
61,2023,Georgios-Giakoumakis,ATL,ST,1853,61,29,15,Georgios-Giakoumakis-2023-1,1
62,2022,Gonzalo-Higuaín,MIA,ST,1930,50,20,16,Gonzalo-Higuaín-2022-1,1
63,2022,Alejandro-Pozuelo,"TOR,-MIA",AM,2651,33,20,6,Alejandro-Pozuelo-2022-1,1
64,2022,Xherdan-Shaqiri,CHI,AM,2456,51,16,7,Xherdan-Shaqiri-2022-1,1
65,2022,Carlos-Ferreira,HOU,ST,2521,68,26,13,Carlos-Ferreira-2022-1,1
66,2021,Fabio,NYRB,ST,2393,86,18,7,Fabio-2021-1,1
67,2022,Luiz-Araújo,ATL,W,2382,98,33,4,Luiz-Araújo-2022-1,1
68,2022,Ryan-Gauld,VAN,AM,2435,75,25,8,Ryan-Gauld-2022-1,1
69,2021,Lucas-Zelarayán,CLB,AM,2882,90,33,12,Lucas-Zelarayán-2021-1,1
70,2022,Jordan-Morris,SEA,W,2500,54,24,7,Jordan-Morris-2022-1,1
71,2021,Luciano-Acosta,CIN,AM,2967,60,24,7,Luciano-Acosta-2021-1,1
72,2021,Robert-Beric,CHI,ST,2369,78,27,8,Robert-Beric-2021-1,1
73,2021,Emanuel-Reynoso,MIN,AM,2563,97,23,5,Emanuel-Reynoso-2021-1,1
74,2022,Luis-Amarilla,MIN,ST,2536,76,26,9,Luis-Amarilla-2022-1,1
75,2022,Santiago-Moreno,POR,W,2659,48,21,7,Santiago-Moreno-2022-1,1
76,2023,Brandon-Vázquez,CIN,ST,2529,68,31,8,Brandon-Vázquez-2023-1,1
77,2022,Lucas-Zelarayán,CLB,AM,2550,85,33,10,Lucas-Zelarayán-2022-1,1
78,2021,Cristian-Dájome,VAN,W,2890,56,21,10,Cristian-Dájome-2021-1,1
79,2023,Dániel-Sallói,SKC,W,3043,74,32,7,Dániel-Sallói-2023-1,1
80,2022,Paul-Arriola,FCD,W,2813,55,22,10,Paul-Arriola-2022-1,1
81,2023,Amine-Bassi,HOU,AM,2080,40,17,10,Amine-Bassi-2023-1,1
82,2021,Fafa-Picault,HOU,W,2668,49,20,11,Fafa-Picault-2021-1,1
83,2021,Julian-Gressel,DCU,FB,2925,46,11,2,Julian-Gressel-2021-1,1
84,2022,Darwin-Quintero,HOU,AM,1938,42,19,8,Darwin-Quintero-2022-1,1
85,2021,Kacper-Przybylko,PHI,ST,2923,63,31,12,Kacper-Przybylko-2021-1,1
86,2021,José-Cifuentes,LAFC,CM,2552,64,17,5,José-Cifuentes-2021-1,1
87,2021,Josef-Martínez,ATL,ST,1759,58,21,12,Josef-Martínez-2021-1,1
88,2022,Nicolás-Lodeiro,SEA,AM,2527,40,15,7,Nicolás-Lodeiro-2022-1,1
89,2022,Karol-Swiderski,CLT,ST,2656,72,36,10,Karol-Swiderski-2022-1,1
90,2021,Romell-Quioto,MTL,ST,1331,46,18,8,Romell-Quioto-2021-1,1
91,2021,Brenner,CIN,ST,3035,67,24,8,Brenner-2021-1,1
92,2022,Jesús-Jiménez,TOR,ST,2608,53,21,9,Jesús-Jiménez-2022-1,1
93,2022,Johnny-Russell,SKC,W,2923,65,21,8,Johnny-Russell-2022-1,1
94,2022,Djordje-Mihailovic,MTL,CM,2193,41,24,9,Djordje-Mihailovic-2022-1,1
95,2023,Nicholas-Gioacchini,STL,ST,2214,43,22,10,Nicholas-Gioacchini-2023-1,1
96,2021,Robin-Lod,MIN,W,1950,67,23,9,Robin-Lod-2021-1,1
97,2023,Lucas-Zelarayán,CLB,AM,1892,66,24,10,Lucas-Zelarayán-2023-1,1
98,2023,Mikael-Uhre,PHI,ST,2270,57,21,9,Mikael-Uhre-2023-1,1
99,2023,Dejan-Joveljic,LAG,ST,1729,48,22,6,Dejan-Joveljic-2023-1,1
100,2023,Riqui-Puig,LAG,CM,2776,86,34,7,Riqui-Puig-2023-1,1
101,2023,Jeremy-Ebobisse,SJE,ST,3162,59,20,10,Jeremy-Ebobisse-2023-1,1
102,2021,Javier-López,SJE,AM,2418,53,23,12,Javier-López-2021-1,1
103,2023,Jordan-Morris,SEA,W,2085,40,18,11,Jordan-Morris-2023-1,1
104,2021,Jesús-Ferreira,FCD,AM,2430,56,24,8,Jesús-Ferreira-2021-1,1
105,2021,Jesús-Medina,NYC,W,2442,56,28,9,Jesús-Medina-2021-1,1
106,2021,Cecilio-Domínguez,ATX,W,2560,66,33,7,Cecilio-Domínguez-2021-1,1
107,2022,Sergio-Córdova,RSL,ST,2458,59,31,9,Sergio-Córdova-2022-1,1
108,2023,Federico-Bernardeschi,TOR,W,2736,76,31,5,Federico-Bernardeschi-2023-1,1
109,2022,C.J.-Sapong,NSH,ST,2653,51,15,5,C.J.-Sapong-2022-1,1
110,2022,Patryk-Klimala,NYRB,ST,1792,54,24,5,Patryk-Klimala-2022-1,1
111,2023,Emanuel-Reynoso,MIN,AM,1381,44,16,6,Emanuel-Reynoso-2023-1,1
112,2022,Ercan-Kara,ORL,ST,1929,48,19,11,Ercan-Kara-2022-1,1
113,2021,Cristian-Roldan,SEA,AM,2581,53,14,6,Cristian-Roldan-2021-1,1
114,2023,Tyler-Boyd,LAG,W,2414,63,25,7,Tyler-Boyd-2023-1,1
115,2022,Dairon-Asprilla,POR,W,2052,50,17,10,Dairon-Asprilla-2022-1,1
116,2023,Alan-Pulido,SKC,ST,2300,54,29,14,Alan-Pulido-2023-1,1
117,2023,Álvaro-Barreal,CIN,FB,3009,55,13,5,Álvaro-Barreal-2023-1,1
118,2021,Michael-Barrios,COL,ST,2255,55,21,8,Michael-Barrios-2021-1,1
119,2021,Rubio-Rubín,RSL,ST,2410,70,25,8,Rubio-Rubín-2021-1,1
120,2022,Sebastián-Blanco,POR,AM,2010,59,20,7,Sebastián-Blanco-2022-1,1
121,2021,Ricardo-Pepi,FCD,ST,2284,67,31,13,Ricardo-Pepi-2021-1,1
122,2021,Brian-White,"NYRB,-VAN",ST,2262,47,24,12,Brian-White-2021-1,1
