,Season,Player,Team,Position,Minutes,Shots,SoT,G,Player_ID,Count
577,2022,Rafael-Czichos,CHI,CB,2572,19,6,3,Rafael-Czichos-2022-1,1
578,2022,Marvin-Loría,POR,W,949,21,7,2,Marvin-Loría-2022-1,1
579,2022,Michael-Bradley,TOR,DM,3411,15,6,3,Michael-Bradley-2022-1,1
580,2022,Tsiki-Ntsabeleng,FCD,CM,951,15,4,1,Tsiki-Ntsabeleng-2022-1,1
581,2021,Adrien-Pérez,DCU,ST,952,26,10,0,Adrien-Pérez-2021-1,1
582,2023,Brandon-Bye,NER,FB,1832,11,2,2,Brandon-Bye-2023-1,1
583,2023,Simon-Becher,VAN,ST,722,17,7,4,Simon-Becher-2023-1,1
584,2022,Emerson-Rodríguez,MIA,W,642,14,9,2,Emerson-Rodríguez-2022-1,1
585,2021,Federico-Higuaín,MIA,AM,921,15,5,3,Federico-Higuaín-2021-1,1
586,2022,Déiber-Caicedo,VAN,ST,1066,19,4,1,Déiber-Caicedo-2022-1,1
587,2023,DeJuan-Jones,NER,FB,2288,10,7,1,DeJuan-Jones-2023-1,1
588,2023,Facundo-Farías,MIA,W,924,23,6,3,Facundo-Farías-2023-1,1
589,2022,Matko-Miljevic,MTL,AM,796,27,9,1,Matko-Miljevic-2022-1,1
590,2022,Boris-Sekulic,CHI,FB,3090,11,1,0,Boris-Sekulic-2022-1,1
591,2023,William-Agada,SKC,ST,786,27,9,3,William-Agada-2023-1,1
592,2023,Lassi-Lappalainen,MTL,FB,1127,18,4,2,Lassi-Lappalainen-2023-1,1
593,2021,Ronald-Matarrita,CIN,FB,2136,17,6,2,Ronald-Matarrita-2021-1,1
594,2023,Bernard-Kamungo,FCD,W,531,16,6,4,Bernard-Kamungo-2023-1,1
595,2021,Rayan-Raveloson,LAG,DM,2105,40,14,5,Rayan-Raveloson-2021-1,1
596,2022,Tommy-McNamara,NER,DM,2670,23,12,4,Tommy-McNamara-2022-1,1
597,2023,Jesús-Jiménez,FCD,ST,782,17,7,0,Jesús-Jiménez-2023-1,1
598,2022,Lucas-Esteves,COL,FB,2503,28,7,1,Lucas-Esteves-2022-1,1
599,2023,Rafael-Navarro,COL,ST,850,18,10,1,Rafael-Navarro-2023-1,1
600,2023,Maximiliano-Urruti,ATX,ST,1121,23,3,1,Maximiliano-Urruti-2023-1,1
601,2022,Tesho-Akindele,ORL,ST,749,22,6,3,Tesho-Akindele-2022-1,1
602,2021,Andrés-Perea,ORL,DM,1946,20,9,2,Andrés-Perea-2021-1,1
603,2023,Robin-Lod,MIN,AM,977,19,5,0,Robin-Lod-2023-1,1
604,2023,Braian-Cufré,NYC,FB,2072,24,6,2,Braian-Cufré-2023-1,1
605,2022,Daniel-Lovitz,NSH,FB,2878,12,3,1,Daniel-Lovitz-2022-1,1
606,2023,Ercan-Kara,ORL,ST,918,23,10,5,Ercan-Kara-2023-1,1
607,2022,Joel-Waterman,MTL,CB,2947,12,7,3,Joel-Waterman-2022-1,1
608,2022,Ruan,ORL,FB,2658,8,4,2,Ruan-2022-1,1
609,2021,Wikelman-Carmona,NYRB,W,1357,35,11,1,Wikelman-Carmona-2021-1,1
610,2021,Thomas-Edwards,NYRB,CB,2158,12,6,0,Thomas-Edwards-2021-1,1
611,2023,Diego-Palacios,LAFC,FB,2623,16,3,0,Diego-Palacios-2023-1,1
612,2022,Aaron-Herrera,RSL,FB,2497,15,3,0,Aaron-Herrera-2022-1,1
613,2021,Isaac-Atanga,CIN,W,1142,19,8,1,Isaac-Atanga-2021-1,1
614,2023,Maikel-Chang,RSL,W,1033,12,5,0,Maikel-Chang-2023-1,1
615,2021,Jozy-Altidore,TOR,ST,840,22,9,4,Jozy-Altidore-2021-1,1
616,2022,Darlington-Nagbe,CLB,DM,3358,13,5,3,Darlington-Nagbe-2022-1,1
617,2022,Erik-Thommy,SKC,CM,948,38,18,3,Erik-Thommy-2022-1,1
618,2021,Jake-Mulraney,ATL,W,1236,25,11,1,Jake-Mulraney-2021-1,1
619,2022,Aaron-Long,NYRB,CB,2622,19,8,4,Aaron-Long-2022-1,1
620,2022,Christian-Fuchs,CLT,FB,2143,18,6,3,Christian-Fuchs-2022-1,1
621,2022,Paul-Marie,SJE,FB,2401,25,4,1,Paul-Marie-2022-1,1
622,2021,Jack-Elliott,PHI,CB,3289,31,7,2,Jack-Elliott-2021-1,1
623,2023,Darren-Yapi,COL,ST,988,13,4,0,Darren-Yapi-2023-1,1
624,2021,Bryan-Acosta,FCD,DM,1748,34,8,0,Bryan-Acosta-2021-1,1
625,2021,Paxton-Pomykal,FCD,W,1642,19,7,1,Paxton-Pomykal-2021-1,1
626,2022,Raheem-Edwards,LAG,FB,2511,17,3,1,Raheem-Edwards-2022-1,1
627,2023,Brandt-Bronico,CLT,CM,2773,17,4,1,Brandt-Bronico-2023-1,1
628,2023,Robert-Taylor,MIA,W,1626,18,8,4,Robert-Taylor-2023-1,1
629,2021,Luis-Martins,SKC,FB,3241,19,6,1,Luis-Martins-2021-1,1
630,2021,Cristhian-Paredes,POR,DM,1295,20,4,3,Cristhian-Paredes-2021-1,1
631,2023,Jonathan-Lewis,COL,ST,1270,22,9,1,Jonathan-Lewis-2023-1,1
632,2021,Michael-Bradley,TOR,DM,2945,18,4,1,Michael-Bradley-2021-1,1
633,2022,Remi-Walter,SKC,DM,3246,17,6,3,Remi-Walter-2022-1,1
634,2023,Ashley-Westwood,CLT,CM,2727,16,3,3,Ashley-Westwood-2023-1,1
635,2023,Xande-Silva,ATL,W,609,14,6,2,Xande-Silva-2023-1,1
636,2021,Emmanuel-Boateng,NER,W,431,6,2,2,Emmanuel-Boateng-2021-1,1
637,2023,Andrew-Brody,RSL,FB,2406,6,3,0,Andrew-Brody-2023-1,1
638,2021,Szabolcs-Schon,FCD,W,1059,22,3,0,Szabolcs-Schon-2021-1,1
639,2022,Paxton-Pomykal,FCD,CM,2627,21,3,0,Paxton-Pomykal-2022-1,1
640,2023,Ali-Ahmed,VAN,CM,1195,14,8,1,Ali-Ahmed-2023-1,1
641,2023,Dagur-Dan-Thórhallsson,ORL,FB,1413,13,3,2,Dagur-Dan-Thórhallsson-2023-1,1
642,2023,Alex-Roldan,SEA,FB,2566,18,4,1,Alex-Roldan-2023-1,1
643,2022,Eryk-Williamson,POR,DM,1284,6,1,0,Eryk-Williamson-2022-1,1
644,2022,Jack-Elliott,PHI,CB,3167,24,6,2,Jack-Elliott-2022-1,1
645,2022,Mason-Toye,MTL,ST,802,20,7,2,Mason-Toye-2022-1,1
646,2021,Maikel-Chang,RSL,FB,1191,15,9,2,Maikel-Chang-2021-1,1
647,2021,Darlington-Nagbe,CLB,DM,3192,17,4,2,Darlington-Nagbe-2021-1,1
648,2022,Alex-Roldan,SEA,FB,2851,9,3,1,Alex-Roldan-2022-1,1
649,2021,Jonathan-Menéndez,RSL,W,959,20,5,1,Jonathan-Menéndez-2021-1,1
650,2022,Nigel-Robertha,DCU,W,815,10,4,1,Nigel-Robertha-2022-1,1
651,2023,Rodolfo-Pizarro,MIA,AM,1020,13,4,0,Rodolfo-Pizarro-2023-1,1
652,2022,Nick-Hagglund,CIN,CB,2968,16,7,1,Nick-Hagglund-2022-1,1
653,2022,Max,COL,CM,1038,23,6,0,Max-2022-1,1
654,2023,Ryan-Raposo,VAN,FB,1406,16,4,0,Ryan-Raposo-2023-1,1
655,2023,Shaq-Moore,NSH,FB,2956,8,0,0,Shaq-Moore-2023-1,1
656,2023,Lewis-O'Brien,DCU,CM,1686,20,5,1,Lewis-O'Brien-2023-1,1
657,2023,Cristian-Dájome,"DCU,-VAN",W,1244,19,8,2,Cristian-Dájome-2023-1,1
658,2022,Danny-Musovski,"LAFC,-RSL",W,636,13,6,2,Danny-Musovski-2022-1,1
659,2021,Pablo-Ruiz,RSL,DM,2217,35,8,0,Pablo-Ruiz-2021-1,1
660,2023,Mason-Toye,MTL,ST,713,18,5,3,Mason-Toye-2023-1,1
661,2023,Robbie-Robinson,MIA,W,363,15,4,1,Robbie-Robinson-2023-1,1
662,2021,Bobby-Wood,RSL,ST,702,19,6,2,Bobby-Wood-2021-1,1
663,2022,Nick-Lima,ATX,FB,2591,20,1,0,Nick-Lima-2022-1,1
664,2021,Gastón-Giménez,CHI,DM,2136,35,11,2,Gastón-Giménez-2021-1,1
665,2021,Ifunanyachi-Achara,TOR,W,883,18,8,2,Ifunanyachi-Achara-2021-1,1
666,2021,Mamadou-Fall,LAFC,CB,1689,15,6,4,Mamadou-Fall-2021-1,1
667,2021,Andrés-Ríos,SJE,ST,1123,24,6,0,Andrés-Ríos-2021-1,1
668,2023,Andrés-Perea,"PHI,-NYC",DM,1020,28,7,2,Andrés-Perea-2023-1,1
669,2021,Gianluca-Busio,SKC,DM,1258,27,7,2,Gianluca-Busio-2021-1,1
670,2021,Ayo-Akinola,TOR,ST,694,14,6,3,Ayo-Akinola-2021-1,1
671,2023,Ryan-Hollingshead,LAFC,FB,2527,21,7,4,Ryan-Hollingshead-2023-1,1
672,2021,Andy-Najar,DCU,CB,2093,16,3,1,Andy-Najar-2021-1,1
673,2023,Ben-Bender,CLT,CM,997,17,5,3,Ben-Bender-2023-1,1
674,2021,Omar-González,TOR,CB,2510,10,6,3,Omar-González-2021-1,1
675,2021,Jürgen-Locadia,CIN,ST,410,13,5,1,Jürgen-Locadia-2021-1,1
676,2023,Walker-Zimmerman,NSH,CB,1959,12,4,2,Walker-Zimmerman-2023-1,1
677,2022,João-Moutinho,ORL,FB,2712,18,4,2,João-Moutinho-2022-1,1
678,2022,Jordy-Alcívar,CLT,CM,1123,16,7,1,Jordy-Alcívar-2022-1,1
679,2021,Andrew-Gutman,NYRB,FB,2019,16,4,2,Andrew-Gutman-2021-1,1
680,2023,Chris-Donovan,PHI,ST,496,7,3,1,Chris-Donovan-2023-1,1
681,2021,Kevin-Paredes,DCU,FB,1657,21,8,3,Kevin-Paredes-2021-1,1
682,2023,Andres-Jasson,NYC,W,922,17,5,3,Andres-Jasson-2023-1,1
683,2022,Ryan-Raposo,VAN,FB,1600,19,4,2,Ryan-Raposo-2022-1,1
684,2023,Alexander-Ring,ATX,CB,2297,19,6,2,Alexander-Ring-2023-1,1
685,2022,Brandon-Servania,FCD,CM,1457,28,8,2,Brandon-Servania-2022-1,1
686,2022,Mark-Delgado,LAG,CM,2764,11,3,2,Mark-Delgado-2022-1,1
687,2022,Will-Bruin,SEA,ST,982,20,5,3,Will-Bruin-2022-1,1
688,2023,Mark-Anthony-Kaye,"NER,-TOR",DM,2859,13,5,2,Mark-Anthony-Kaye-2023-1,1
689,2022,DeAndre-Yedlin,MIA,FB,3299,5,0,0,DeAndre-Yedlin-2022-1,1
690,2021,Malte-Amundsen,NYC,FB,1585,10,3,1,Malte-Amundsen-2021-1,1
691,2023,Marco-Farfan,FCD,FB,2865,11,3,1,Marco-Farfan-2023-1,1
692,2022,Malte-Amundsen,NYC,FB,2361,14,2,0,Malte-Amundsen-2022-1,1
693,2022,Steven-Moreira,CLB,FB,3087,11,4,1,Steven-Moreira-2022-1,1
694,2022,Khiry-Shelton,SKC,ST,1544,18,6,1,Khiry-Shelton-2022-1,1
695,2022,Lalas-Abubakar,COL,CB,2781,22,5,4,Lalas-Abubakar-2022-1,1
696,2021,Joe-Corona,HOU,CM,1900,20,2,0,Joe-Corona-2021-1,1
697,2022,Cameron-Harper,NYRB,FB,875,13,5,2,Cameron-Harper-2022-1,1
698,2023,Anthony-Markanich,"COL,-STL",FB,1049,13,2,1,Anthony-Markanich-2023-1,1
699,2022,Gareth-Bale,LAFC,W,425,17,7,2,Gareth-Bale-2022-1,1
700,2023,Caleb-Wiley,ATL,FB,2472,10,5,4,Caleb-Wiley-2023-1,1
701,2023,Mathías-Laborda,VAN,CB,1694,15,4,1,Mathías-Laborda-2023-1,1
702,2022,Marinos-Tzionis,SKC,W,912,22,8,1,Marinos-Tzionis-2022-1,1
703,2022,Olivier-Mbaizo,PHI,FB,1450,5,2,0,Olivier-Mbaizo-2022-1,1
704,2021,Mathieu-Choinière,MTL,FB,2123,17,6,2,Mathieu-Choinière-2021-1,1
705,2023,Calegari,LAG,FB,2114,11,3,0,Calegari-2023-1,1
706,2021,Luke-Haakenson,NSH,W,430,12,6,2,Luke-Haakenson-2021-1,1
707,2021,Ahmed-Hamdi,MTL,CM,994,17,5,2,Ahmed-Hamdi-2021-1,1
708,2023,Brandon-Servania,TOR,CM,1845,18,6,1,Brandon-Servania-2023-1,1
709,2022,Jayden-Nelson,TOR,W,2120,29,9,1,Jayden-Nelson-2022-1,1
710,2022,Jackson-Yueill,SJE,DM,2924,20,6,4,Jackson-Yueill-2022-1,1
711,2023,César-Araujo,ORL,DM,2935,21,6,1,César-Araujo-2023-1,1
712,2023,Gastón-Giménez,CHI,DM,2440,26,4,1,Gastón-Giménez-2023-1,1
713,2021,Chase-Gasper,MIN,FB,2877,21,2,1,Chase-Gasper-2021-1,1
714,2023,Timothy-Tillman,LAFC,CM,1729,24,9,4,Timothy-Tillman-2023-1,1
715,2023,Donovan-Pines,DCU,CB,2082,12,5,3,Donovan-Pines-2023-1,1
716,2023,Bryan-Oviedo,RSL,FB,1890,12,7,0,Bryan-Oviedo-2023-1,1
717,2022,Ismael-Koné,MTL,CM,1750,24,6,2,Ismael-Koné-2022-1,1
718,2022,Caleb-Wiley,ATL,FB,1631,8,3,1,Caleb-Wiley-2022-1,1
719,2023,Griffin-Dorsey,HOU,FB,1073,9,3,1,Griffin-Dorsey-2023-1,1
720,2022,Indiana-Vassilev,MIA,W,1183,19,12,2,Indiana-Vassilev-2022-1,1
721,2023,Nicolás-Stefanelli,MIA,W,1471,26,8,2,Nicolás-Stefanelli-2023-1,1
722,2022,Zachary-Brault-Guillard,MTL,FB,731,6,4,4,Zachary-Brault-Guillard-2022-1,1
723,2022,Marco-Farfan,FCD,FB,2975,8,5,1,Marco-Farfan-2022-1,1
724,2022,Jacob-Shaffelburg,"TOR,-NSH",FB,1251,24,7,2,Jacob-Shaffelburg-2022-1,1
725,2023,Tyler-Wolff,ATL,W,732,11,8,5,Tyler-Wolff-2023-1,1
726,2023,Julio-Cascante,ATX,CB,2196,26,7,2,Julio-Cascante-2023-1,1
727,2023,Daniel-Aguirre,LAG,W,707,14,5,1,Daniel-Aguirre-2023-1,1
728,2023,Sam-Surridge,NSH,ST,464,12,5,2,Sam-Surridge-2023-1,1
729,2023,Saba-Lobzhanidze,ATL,W,437,10,7,3,Saba-Lobzhanidze-2023-1,1
730,2021,Alex-Roldan,SEA,FB,2484,8,2,1,Alex-Roldan-2021-1,1
731,2022,Steve-Birnbaum,DCU,CB,3162,23,6,2,Steve-Birnbaum-2022-1,1
732,2023,Darlington-Nagbe,CLB,CM,3009,17,6,2,Darlington-Nagbe-2023-1,1
733,2021,Diego-Palacios,LAFC,FB,1936,19,5,0,Diego-Palacios-2021-1,1
734,2023,Jack-McGlynn,PHI,CM,1776,26,5,2,Jack-McGlynn-2023-1,1
735,2022,Justen-Glad,RSL,CB,2525,18,8,3,Justen-Glad-2022-1,1
736,2021,Allan-Cruz,CIN,CM,1789,29,5,1,Allan-Cruz-2021-1,1
737,2022,Anderson-Julio,RSL,ST,619,20,10,3,Anderson-Julio-2022-1,1
738,2022,Jan-Gregus,SJE,DM,1842,21,9,0,Jan-Gregus-2022-1,1
739,2022,Sean-Nealis,NYRB,CB,3276,21,5,0,Sean-Nealis-2022-1,1
740,2021,Luis-Díaz,CLB,W,1081,21,6,1,Luis-Díaz-2021-1,1
741,2021,Héctor-Jiménez,ATX,FB,1777,9,4,1,Héctor-Jiménez-2021-1,1
742,2023,Wil-Trapp,MIN,DM,2543,23,3,0,Wil-Trapp-2023-1,1
743,2023,Alessandro-Schöpf,VAN,CM,1890,19,7,1,Alessandro-Schöpf-2023-1,1
744,2022,Teenage-Hadebe,HOU,CB,2013,17,3,2,Teenage-Hadebe-2022-1,1
745,2022,Keaton-Parks,NYC,DM,1187,21,11,2,Keaton-Parks-2022-1,1
746,2022,Giacomo-Vrioni,NER,ST,279,10,4,1,Giacomo-Vrioni-2022-1,1
747,2023,Justen-Glad,RSL,CB,2908,15,7,5,Justen-Glad-2023-1,1
748,2021,Yamil-Asad,DCU,W,726,10,4,2,Yamil-Asad-2021-1,1
749,2023,Ranko-Veselinovic,VAN,CB,3049,18,2,2,Ranko-Veselinovic-2023-1,1
750,2021,Olivier-Mbaizo,PHI,FB,2729,7,1,0,Olivier-Mbaizo-2021-1,1
751,2021,Brek-Shea,MIA,FB,1849,16,9,2,Brek-Shea-2021-1,1
752,2023,Matt-Polster,NER,DM,2894,19,5,2,Matt-Polster-2023-1,1
753,2022,Keegan-Rosenberry,COL,FB,3280,20,5,2,Keegan-Rosenberry-2022-1,1
754,2021,Leandro-González-Pirez,MIA,CB,2914,19,5,0,Leandro-González-Pirez-2021-1,1
755,2022,Gastón-Brugman,LAG,CM,1220,15,7,3,Gastón-Brugman-2022-1,1
756,2022,Alvas-Powell,CIN,FB,2094,22,7,0,Alvas-Powell-2022-1,1
757,2021,Erik-López,ATL,W,960,19,7,1,Erik-López-2021-1,1
758,2022,Sam-Nicholson,COL,W,909,13,4,1,Sam-Nicholson-2022-1,1
759,2023,Facundo-Quignón,FCD,DM,2132,20,9,1,Facundo-Quignón-2023-1,1
760,2022,Edison-Flores,DCU,AM,908,15,2,1,Edison-Flores-2022-1,1
761,2022,Ilie-Sánchez,LAFC,DM,2956,16,4,1,Ilie-Sánchez-2022-1,1
762,2023,Gabriel-Pirani,DCU,AM,913,19,8,1,Gabriel-Pirani-2023-1,1
763,2023,Brenner,CIN,ST,587,19,9,1,Brenner-2023-1,1
764,2022,Moussa-Djitté,ATX,ST,544,15,7,4,Moussa-Djitté-2022-1,1
765,2021,Braian-Galván,COL,FB,1337,18,9,2,Braian-Galván-2021-1,1
766,2021,Alistair-Johnston,NSH,FB,2321,8,5,1,Alistair-Johnston-2021-1,1
767,2023,Alex-Muyl,NSH,W,2162,21,6,1,Alex-Muyl-2023-1,1
768,2021,Patrick-Mullins,TOR,ST,901,18,3,0,Patrick-Mullins-2021-1,1
769,2021,Andreu-Fontàs,SKC,CB,3264,14,3,0,Andreu-Fontàs-2021-1,1
770,2022,Mauricio-Pineda,CHI,DM,2196,15,3,1,Mauricio-Pineda-2022-1,1
771,2023,Remi-Walter,SKC,CM,2938,23,7,1,Remi-Walter-2023-1,1
772,2022,Rubio-Rubín,RSL,ST,975,20,8,1,Rubio-Rubín-2022-1,1
773,2022,Dylan-Borrero,NER,W,660,19,6,3,Dylan-Borrero-2022-1,1
774,2023,Yeimar-Gómez-Andrade,SEA,CB,3107,18,4,2,Yeimar-Gómez-Andrade-2023-1,1
775,2023,Rodrigues,SJE,CB,3248,23,4,1,Rodrigues-2023-1,1
776,2023,Mario-González,LAFC,ST,390,7,3,1,Mario-González-2023-1,1
777,2022,Leo-Chú,SEA,W,927,18,1,0,Leo-Chú-2022-1,1
778,2022,Gastón-Giménez,CHI,DM,1852,29,11,0,Gastón-Giménez-2022-1,1
779,2023,Matt-Miazga,CIN,CB,2579,16,3,0,Matt-Miazga-2023-1,1
780,2022,Stanislav-Ivanov,CHI,W,940,13,4,1,Stanislav-Ivanov-2022-1,1
781,2021,Ariel-Lassiter,HOU,ST,632,24,10,0,Ariel-Lassiter-2021-1,1
782,2021,Nick-Lima,ATX,FB,2213,18,4,0,Nick-Lima-2021-1,1
783,2021,Wil-Trapp,MIN,DM,2971,14,3,1,Wil-Trapp-2021-1,1
784,2021,Oswaldo-Alanís,SJE,CB,2264,18,10,2,Oswaldo-Alanís-2021-1,1
785,2023,Zac-McGraw,POR,CB,2610,22,6,1,Zac-McGraw-2023-1,1
786,2022,Tommy-Thompson,SJE,FB,1457,11,2,1,Tommy-Thompson-2022-1,1
787,2023,Ismael-Tajouri-Shradi,MIN,W,395,17,9,1,Ismael-Tajouri-Shradi-2023-1,1
788,2022,Nathan,SJE,CB,2468,28,6,3,Nathan-2022-1,1
789,2021,Dejan-Joveljic,LAG,ST,806,17,7,2,Dejan-Joveljic-2021-1,1
790,2022,Yuya-Kubo,CIN,CM,1495,15,2,1,Yuya-Kubo-2022-1,1
791,2021,Dominique-Badji,"NSH,-COL",ST,593,22,12,5,Dominique-Badji-2021-1,1
792,2022,Danny-Hoesen,ATX,ST,467,14,6,3,Danny-Hoesen-2022-1,1
793,2021,Daniel-Royer,NYRB,ST,578,22,6,0,Daniel-Royer-2021-1,1
794,2022,Claudio-Bravo,POR,FB,2441,24,2,0,Claudio-Bravo-2022-1,1
795,2022,Alan-Franco,ATL,CB,2993,12,5,1,Alan-Franco-2022-1,1
796,2023,Andrés-Reyes,NYRB,CB,2579,24,4,2,Andrés-Reyes-2023-1,1
797,2021,Talles-Magno,NYC,W,500,9,5,2,Talles-Magno-2021-1,1
798,2021,Niko-Hansen,MIN,W,502,10,4,1,Niko-Hansen-2021-1,1
799,2021,Auro,TOR,FB,2155,11,4,0,Auro-2021-1,1
800,2021,Aníbal-Godoy,NSH,DM,2191,13,4,0,Aníbal-Godoy-2021-1,1
801,2021,Paxten-Aaronson,PHI,AM,674,11,9,3,Paxten-Aaronson-2021-1,1
802,2023,Sean-Nealis,NYRB,CB,2950,14,5,1,Sean-Nealis-2023-1,1
803,2021,Bradley-Wright-Phillips,CLB,ST,771,13,3,1,Bradley-Wright-Phillips-2021-1,1
804,2021,Felipe,DCU,CM,1283,13,6,1,Felipe-2021-1,1
805,2023,Nathan,POR,ST,665,14,5,1,Nathan-2023-1,1
806,2023,Joel-Waterman,MTL,CB,2502,4,2,1,Joel-Waterman-2023-1,1
807,2023,Raheem-Edwards,LAG,FB,1981,15,5,1,Raheem-Edwards-2023-1,1
808,2022,Damion-Lowe,MIA,CB,2632,11,5,1,Damion-Lowe-2022-1,1
809,2021,John-Tolkin,NYRB,FB,2206,21,4,1,John-Tolkin-2021-1,1
810,2021,Russell-Teibert,VAN,CM,2634,11,1,1,Russell-Teibert-2021-1,1
811,2022,Felipe,ATX,DM,891,10,4,1,Felipe-2022-1,1
812,2022,Juan-José-Purata,ATL,CB,1604,14,8,6,Juan-José-Purata-2022-1,1
813,2021,Diego-Chara,POR,DM,2708,4,2,2,Diego-Chara-2021-1,1
814,2023,Matheus-Rossetto,ATL,DM,1929,15,7,1,Matheus-Rossetto-2023-1,1
815,2023,Ilie-Sánchez,LAFC,DM,2735,12,4,1,Ilie-Sánchez-2023-1,1
816,2021,Kim-Moon-Hwan,LAFC,FB,1992,12,3,1,Kim-Moon-Hwan-2021-1,1
817,2023,Carlos-Akapo,SJE,FB,2284,27,3,2,Carlos-Akapo-2023-1,1
818,2022,Nouhou-Tolo,SEA,FB,2748,14,4,1,Nouhou-Tolo-2022-1,1
819,2021,Lucas-Esteves,COL,FB,1021,17,5,1,Lucas-Esteves-2021-1,1
820,2023,Malte-Amundsen,CLB,CB,2001,12,3,3,Malte-Amundsen-2023-1,1
821,2023,Obinna-Nwobodo,CIN,CM,2769,12,7,2,Obinna-Nwobodo-2023-1,1
822,2023,Braian-Ojeda,RSL,CM,2310,32,9,0,Braian-Ojeda-2023-1,1
823,2023,Gabriel-Segal,NYC,ST,473,14,4,2,Gabriel-Segal-2023-1,1
824,2021,Daniel-Ríos,NSH,ST,416,17,5,1,Daniel-Ríos-2021-1,1
825,2021,Santiago-Sosa,ATL,DM,2418,15,4,0,Santiago-Sosa-2021-1,1
826,2021,Kevin-Molino,CLB,W,648,7,2,1,Kevin-Molino-2021-1,1
827,2022,Luke-Haakenson,NSH,CM,718,10,3,0,Luke-Haakenson-2022-1,1
828,2021,Cristián-Gutiérrez,VAN,FB,1698,4,0,0,Cristián-Gutiérrez-2021-1,1
829,2023,D.J.-Taylor,MIN,FB,2708,14,3,0,D.J.-Taylor-2023-1,1
830,2021,Claudio-Bravo,POR,FB,2242,22,3,0,Claudio-Bravo-2021-1,1
831,2023,Sebastian-Berhalter,VAN,DM,1367,16,6,2,Sebastian-Berhalter-2023-1,1
832,2022,Christian-Ortíz,CLT,CM,703,12,3,1,Christian-Ortíz-2022-1,1
833,2021,Kellyn-Acosta,COL,CM,1885,17,2,1,Kellyn-Acosta-2021-1,1
834,2023,Will-Bruin,ATX,ST,430,8,4,3,Will-Bruin-2023-1,1
835,2023,Daniel-Steres,HOU,FB,2090,10,2,2,Daniel-Steres-2023-1,1
836,2022,Brandt-Bronico,CLT,DM,3097,22,8,1,Brandt-Bronico-2022-1,1
837,2021,Erick-Torres,ATL,ST,727,20,6,0,Erick-Torres-2021-1,1
838,2023,Benjamin-Kikanovic,SJE,W,837,14,2,1,Benjamin-Kikanovic-2023-1,1
839,2023,Daniel-Pereira-Gil,ATX,CM,2779,16,5,0,Daniel-Pereira-Gil-2023-1,1
840,2023,Sam-Nicholson,COL,FB,1612,18,2,1,Sam-Nicholson-2023-1,1
841,2023,Paul-Marie,SJE,FB,2209,23,5,1,Paul-Marie-2023-1,1
842,2022,Luca-Petrasso,TOR,FB,1893,9,3,0,Luca-Petrasso-2022-1,1
843,2022,Mathieu-Choinière,MTL,FB,1524,15,2,2,Mathieu-Choinière-2022-1,1
844,2021,Miguel-Ángel-Navarro,CHI,FB,2414,14,0,0,Miguel-Ángel-Navarro-2021-1,1
845,2023,Thorleifur-Úlfarsson,HOU,ST,567,16,9,3,Thorleifur-Úlfarsson-2023-1,1
846,2021,Sean-Nealis,NYRB,CB,2674,20,4,1,Sean-Nealis-2021-1,1
847,2023,Wilder-Cartagena,ORL,DM,2120,11,4,1,Wilder-Cartagena-2023-1,1
848,2022,Jesús-David-Murillo,LAFC,CB,2586,16,4,2,Jesús-David-Murillo-2022-1,1
849,2022,Jackson-Hopkins,DCU,W,1009,8,1,0,Jackson-Hopkins-2022-1,1
850,2022,Abu-Danladi,MIN,W,717,10,4,2,Abu-Danladi-2022-1,1
851,2023,Carlos-Gruezo,SJE,DM,2348,10,3,0,Carlos-Gruezo-2023-1,1
852,2023,Calvin-Harris,COL,W,889,11,6,1,Calvin-Harris-2023-1,1
853,2023,Steve-Birnbaum,DCU,CB,1825,15,4,1,Steve-Birnbaum-2023-1,1
854,2023,Matthew-Hoppe,SJE,W,370,9,3,2,Matthew-Hoppe-2023-1,1
855,2021,Francisco-Calvo,CHI,CB,1613,20,5,1,Francisco-Calvo-2021-1,1
856,2023,Chris-Mueller,CHI,W,789,15,3,2,Chris-Mueller-2023-1,1
857,2021,Bill-Tuiloma,POR,CB,2022,22,6,1,Bill-Tuiloma-2021-1,1
858,2023,Jairo-Torres,CHI,W,863,18,4,0,Jairo-Torres-2023-1,1
859,2022,Leon-Flach,PHI,CM,3012,11,4,0,Leon-Flach-2022-1,1
860,2023,Claudio-Bravo,POR,FB,2465,21,5,2,Claudio-Bravo-2023-1,1
861,2023,Dylan-Borrero,NER,W,546,16,7,2,Dylan-Borrero-2023-1,1
862,2021,Francisco-Ginella,LAFC,CM,986,10,4,0,Francisco-Ginella-2021-1,1
863,2023,Steven-Moreira,CLB,CB,3169,6,2,0,Steven-Moreira-2023-1,1
864,2022,Daniel-Pereira-Gil,ATX,DM,2270,20,8,2,Daniel-Pereira-Gil-2022-1,1
865,2023,Derrick-Etienne,ATL,W,1162,10,2,0,Derrick-Etienne-2023-1,1
866,2023,Rafael-Santos,ORL,FB,2216,19,3,1,Rafael-Santos-2023-1,1
867,2022,Nathan,POR,ST,474,18,7,2,Nathan-2022-2,2
868,2021,Samuel-Piette,MTL,CM,1877,14,2,1,Samuel-Piette-2021-1,1
869,2022,Júnior-Moreno,CIN,CM,2212,15,3,2,Júnior-Moreno-2022-1,1
870,2022,Calvin-Harris,CIN,FB,216,7,3,1,Calvin-Harris-2022-1,1
871,2021,Drew-Skundrich,DCU,CM,1263,14,4,0,Drew-Skundrich-2021-1,1
