"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Yamil Asad","DCU","2021","W","726","10","4","2","1.62","0.22","0.38","15","0","1.01","-1.01","2.62","1.05","1.20"
"","Ranko Veselinovic","VAN","2023","CB","3049","18","2","2","1.18","0.40","0.82","5","2","1.44","0.56","2.62","1.12","0.85"
"","Olivier Mbaizo","PHI","2021","FB","2729","7","1","0","0.18","-0.16","-0.18","29","2","2.43","-0.43","2.61","0.00","0.10"
"","Brek Shea","MIA","2021","FB","1849","16","9","2","2.14","0.03","-0.14","6","0","0.47","-0.47","2.61","0.50","1.40"
"","Matt Polster","NER","2023","DM","2894","19","5","2","1.19","-0.27","0.81","15","1","1.42","-0.42","2.61","0.70","0.88"
"","Keegan Rosenberry","COL","2022","FB","3280","20","5","2","0.56","0.15","1.44","21","1","2.04","-1.04","2.60","1.18","0.42"
"","Leandro González Pirez","MIA","2021","CB","2914","19","5","0","1.39","-0.40","-1.39","9","2","1.20","0.80","2.59","0.00","0.97"
"","Gastón Brugman","LAG","2022","CM","1220","15","7","3","0.93","0.29","2.07","17","1","1.64","-0.64","2.58","0.56","0.40"
"","Alvas Powell","CIN","2022","FB","2094","22","7","0","0.92","0.17","-0.92","13","3","1.66","1.34","2.58","0.00","0.62"
"","Erik López","ATL","2021","W","960","19","7","1","2.56","-1.04","-1.56","0","0","0.00","0.00","2.56","0.24","1.51"
"","Sam Nicholson","COL","2022","W","909","13","4","1","0.87","0.61","0.13","12","0","1.69","-1.69","2.56","0.00","0.41"
"","Facundo Quignón","FCD","2023","DM","2132","20","9","1","1.71","0.53","-0.71","10","1","0.84","0.16","2.55","0.43","1.44"
"","Edison Flores","DCU","2022","AM","908","15","2","1","1.52","-0.70","-0.52","8","0","1.03","-1.03","2.54","0.39","0.92"
"","Ilie Sánchez","LAFC","2022","DM","2956","16","4","1","0.69","-0.13","0.31","16","0","1.85","-1.85","2.54","0.47","0.55"
"","Gabriel Pirani","DCU","2023","AM","913","19","8","1","1.84","-0.03","-0.84","9","0","0.70","-0.70","2.54","1.34","1.56"
"","Brenner","CIN","2023","ST","587","19","9","1","2.02","-0.44","-1.02","6","0","0.52","-0.52","2.53","0.57","1.44"
"","Moussa Djitté","ATX","2022","ST","544","15","7","4","2.21","0.86","1.79","2","0","0.31","-0.31","2.52","2.34","1.66"
"","Braian Galván","COL","2021","FB","1337","18","9","2","0.75","0.89","1.25","23","3","1.77","1.23","2.52","0.64","0.62"
"","Alistair Johnston","NSH","2021","FB","2321","8","5","1","0.97","0.77","0.03","15","1","1.54","-0.54","2.52","0.00","0.65"
"","Alex Muyl","NSH","2023","W","2162","21","6","1","1.63","0.22","-0.63","15","0","0.88","-0.88","2.51","0.33","1.08"
"","Patrick Mullins","TOR","2021","ST","901","18","3","0","1.60","-1.14","-1.60","6","2","0.91","1.09","2.51","0.00","1.22"
"","Andreu Fontàs","SKC","2021","CB","3264","14","3","0","2.05","-1.52","-2.05","8","0","0.45","-0.45","2.50","0.00","2.41"
"","Mauricio Pineda","CHI","2022","DM","2196","15","3","1","1.85","-1.12","-0.85","8","0","0.65","-0.65","2.50","0.48","1.32"
"","Remi Walter","SKC","2023","CM","2938","23","7","1","1.57","-0.17","-0.57","16","2","0.93","1.07","2.50","0.52","1.03"
"","Rubio Rubín","RSL","2022","ST","975","20","8","1","2.29","-0.67","-1.29","4","0","0.21","-0.21","2.49","0.22","1.54"
"","Dylan Borrero","NER","2022","W","660","19","6","3","1.71","0.15","1.29","6","1","0.78","0.22","2.48","1.48","1.59"
"","Yeimar Gómez Andrade","SEA","2023","CB","3107","18","4","2","1.71","-0.09","0.29","4","0","0.77","-0.77","2.48","0.71","1.82"
"","Rodrigues","SJE","2023","CB","3248","23","4","1","2.26","-1.10","-1.26","5","0","0.22","-0.22","2.48","0.40","1.36"
"","Mario González","LAFC","2023","ST","390","7","3","1","1.69","-0.75","-0.69","4","1","0.78","0.22","2.47","1.23","1.44"
"","Leo Chú","SEA","2022","W","927","18","1","0","1.40","-1.28","-1.40","9","2","1.07","0.93","2.47","0.00","0.85"
"","Gastón Giménez","CHI","2022","DM","1852","29","11","0","1.10","-0.43","-1.10","20","2","1.37","0.63","2.47","0.00","0.87"
"","Matt Miazga","CIN","2023","CB","2579","16","3","0","1.45","-0.45","-1.45","6","1","1.00","-0.00","2.45","0.00","1.03"
"","Stanislav Ivanov","CHI","2022","W","940","13","4","1","1.55","-0.21","-0.55","11","0","0.90","-0.90","2.45","0.63","1.13"
