,Date,Home_team_ID,HG,Away_team_ID,AG
523,2022-09-17,ATL2022,0,PHI2022,0
524,2022-09-17,NYC2022,2,NYRB2022,0
525,2022-09-14,VAN2022,3,LAG2022,0
526,2022-09-14,COL2022,2,SJE2022,1
527,2022-09-14,ATX2022,3,RSL2022,0
528,2022-09-14,ORL2022,0,ATL2022,1
529,2022-09-13,HOU2022,3,NER2022,1
530,2022-09-13,SKC2022,3,DCU2022,0
531,2022-09-13,MIA2022,2,CLB2022,1
532,2022-09-13,MIN2022,1,LAFC2022,1
533,2022-09-13,MTL2022,3,CHI2022,2
534,2022-09-10,POR2022,1,MIN2022,0
535,2022-09-10,RSL2022,0,DCU2022,0
536,2022-09-10,COL2022,3,VAN2022,1
537,2022-09-10,FCD2022,2,LAFC2022,1
538,2022-09-10,HOU2022,0,SKC2022,0
539,2022-09-10,CHI2022,3,MIA2022,1
540,2022-09-10,SEA2022,2,ATX2022,0
541,2022-09-10,PHI2022,4,ORL2022,1
542,2022-09-10,ATL2022,4,TOR2022,2
543,2022-09-10,CIN2022,6,SJE2022,0
544,2022-09-10,NYRB2022,2,NER2022,1
545,2022-09-10,NSH2022,1,LAG2022,1
546,2022-09-10,CLT2022,1,NYC2022,0
547,2022-09-09,MTL2022,2,CLB2022,2
548,2022-09-07,NYC2022,1,CIN2022,0
549,2022-09-04,LAFC2022,2,RSL2022,0
550,2022-09-04,SJE2022,2,VAN2022,0
551,2022-09-04,SEA2022,2,HOU2022,1
552,2022-09-04,LAG2022,2,SKC2022,2
553,2022-09-04,NER2022,3,NYC2022,0
554,2022-09-04,DCU2022,0,COL2022,0
555,2022-09-04,TOR2022,3,MTL2022,4
556,2022-09-04,POR2022,2,ATL2022,1
557,2022-09-03,NSH2022,3,ATX2022,0
