,Player_ID,Passes,Distance,Vertical,Score,Season
1864,Danny-Leyva-2023-1,357,17.86,5.25,-8.37,2023
1865,Moses-Nyeman-2022-1,61,21.68,4.64,-8.37,2022
1866,Jacob-Shaffelburg-2021-1,327,15.77,0.86,-8.37,2021
1867,Noel-Buck-2023-1,755,18.11,2.4,-8.38,2023
1868,Michael-Baldisimo-2021-1,725,24.28,5.95,-8.42,2021
1869,Federico-Bernardeschi-2023-1,1039,18.84,0.37,-8.5,2023
1870,Ifunanyachi-Achara-2021-1,209,12.81,0.76,-8.5,2021
1871,Sami-Guediri-2021-1,146,19.85,4.77,-8.54,2021
1872,Joshua-Atencio-2023-1,558,18.24,3.21,-8.59,2023
1873,Niko-Hansen-2021-1,154,15.66,0.26,-8.62,2021
1874,Omir-Fernandez-2022-1,300,15.91,3.02,-8.63,2022
1875,Fredy-Montero-2023-1,160,18.25,2.32,-8.63,2023
1876,Lorenzo-Insigne-2022-1,640,19.47,3.03,-8.64,2022
1877,Luke-Singh-2021-1,226,19.95,6.87,-8.65,2021
1878,Nathan-Harriel-2023-1,712,19.33,4.24,-8.66,2023
1879,Roman-Celentano-2022-1,679,43.98,36.59,-8.67,2022
1880,Tesho-Akindele-2022-1,191,15.16,-1.56,-8.7,2022
1881,Kamil-Jozwiak-2022-1,468,16.13,-1.3,-8.74,2022
1882,Nathan-Harriel-2022-1,789,20.0,8.34,-8.74,2022
1883,Erik-Hurtado-2022-1,100,13.12,-4.08,-8.76,2022
1884,Braian-Galván-2023-1,291,19.42,5.95,-8.78,2023
1885,Alvas-Powell-2021-1,128,23.58,10.25,-8.79,2021
1886,Tyler-Pasher-2021-1,346,19.37,1.55,-8.82,2021
1887,Benjamin-Kikanovic-2022-1,372,14.9,0.29,-8.82,2022
1888,Dejan-Joveljic-2021-1,160,13.0,-1.14,-8.83,2021
1889,Paul-Marie-2023-1,1110,18.17,4.09,-8.83,2023
1890,Michael-Barrios-2021-1,570,16.61,-0.14,-8.84,2021
1891,Tony-Alfaro-2021-1,882,25.03,10.21,-8.84,2021
1892,David-Bingham-2023-1,623,43.37,33.66,-8.85,2023
1893,Russell-Canouse-2021-1,743,19.97,4.17,-8.88,2021
1894,Alejandro-Fuenmayor-2021-1,195,22.7,7.09,-8.89,2021
1895,John-McCarthy-2021-1,351,36.37,28.31,-8.9,2021
1896,Santiago-Moreno-2023-1,957,17.78,3.29,-8.94,2023
1897,Andrés-Ricaurte-2021-1,799,21.65,4.28,-8.94,2021
1898,Franco-Jara-2021-1,339,16.17,-0.27,-9.0,2021
1899,Luis-Caicedo-2023-1,598,19.31,3.38,-9.02,2023
1900,Dairon-Asprilla-2022-1,621,16.73,-1.23,-9.02,2022
1901,Sergio-Santos-2023-1,232,14.87,0.5,-9.04,2023
1902,Franco-Ibarra-2023-1,944,19.65,5.39,-9.05,2023
1903,Federico-Navarro-2021-1,616,18.35,3.27,-9.12,2021
1904,Georgios-Koutsias-2023-1,239,14.77,-4.36,-9.15,2023
1905,Héber-2022-1,273,15.45,-0.67,-9.17,2022
1906,Harvey-Neville-2023-1,128,17.06,-0.52,-9.18,2023
1907,Geovane-2023-1,464,19.29,3.36,-9.19,2023
1908,Daniel-Gazdag-2023-1,1111,16.52,3.56,-9.24,2023
1909,Wikelman-Carmona-2021-1,367,16.93,2.54,-9.24,2021
1910,C.J.-Sapong-2023-1,350,15.48,-0.02,-9.32,2023
1911,Noble-Okello-2022-1,180,15.46,5.25,-9.33,2022
1912,Daniel-Lovitz-2023-1,1833,23.12,7.27,-9.34,2023
1913,Ibrahim-Sunusi-2021-1,237,15.92,1.91,-9.37,2021
1914,Jesús-Ferreira-2021-1,1112,20.72,4.43,-9.38,2021
1915,Wikelman-Carmona-2023-1,212,16.72,2.01,-9.4,2023
1916,Federico-Higuaín-2021-1,571,18.32,2.06,-9.44,2021
1917,Adrien-Pérez-2021-1,313,16.81,2.15,-9.45,2021
1918,Adam-Buksa-2021-1,487,15.9,1.01,-9.47,2021
1919,Nicolás-Mezquida-2021-1,296,18.87,1.98,-9.49,2021
1920,Brad-Guzan-2021-1,1224,35.92,25.37,-9.5,2021
1921,Raúl-Ruidíaz-2023-1,269,15.66,-1.46,-9.52,2023
1922,Zarek-Valentin-2023-1,634,21.92,7.26,-9.53,2023
1923,Mathieu-Choinière-2023-1,1175,18.82,2.79,-9.53,2023
1924,Miguel-Ángel-Navarro-2021-1,1219,19.04,4.23,-9.63,2021
1925,Maximiliano-Urruti-2022-1,308,16.09,0.38,-9.68,2022
1926,Jack-Skahan-2021-1,114,20.27,4.59,-9.68,2021
1927,Nathan-2022-2,104,15.19,-1.76,-9.75,2022
1928,Ola-Kamara-2022-1,387,16.21,0.19,-9.76,2022
1929,Michael-Halliday-2021-1,169,20.28,2.02,-9.77,2021
1930,Adrien-Pérez-2022-1,64,13.93,0.73,-9.78,2022
1931,Andre-Shinyashiki-2021-1,561,17.91,1.58,-9.78,2021
1932,Javain-Brown-2023-1,1036,21.93,3.77,-9.8,2023
1933,Gabriel-Segal-2023-1,127,13.59,-1.16,-9.81,2023
1934,Maikel-Chang-2021-1,566,19.07,1.65,-9.84,2021
1935,Leo-Chú-2023-1,672,15.04,-0.92,-9.85,2023
1936,Joaquín-Torres-2023-1,130,20.65,5.99,-9.86,2023
1937,Przemyslaw-Tyton-2021-1,425,31.65,19.83,-9.86,2021
1938,Cristhian-Paredes-2022-1,641,18.22,5.03,-9.87,2022
1939,Griffin-Dorsey-2021-1,617,17.5,0.62,-9.9,2021
1940,Justin-Rasmussen-2022-1,362,22.63,6.58,-9.95,2022
1941,Álvaro-Medrán-2021-1,1723,21.37,7.16,-9.96,2021
1942,Miguel-Berry-2021-1,159,14.9,0.55,-9.97,2021
1943,Tah-Brian-Anunga-2021-1,731,18.27,1.14,-9.97,2021
1944,Tanner-Tessmann-2021-1,276,22.39,4.61,-9.98,2021
1945,Dario-Zuparic-2023-1,1184,25.11,8.74,-9.99,2023
1946,Paul-Marie-2021-1,583,19.16,3.22,-10.0,2021
1947,Emanuel-Reynoso-2022-1,1558,21.02,6.51,-10.0,2022
1948,Mamadou-Fall-2022-1,760,22.86,10.63,-10.02,2022
1949,Jaroslaw-Niezgoda-2023-1,148,12.25,0.71,-10.07,2023
1950,Kevin-Cabral-2023-1,246,16.03,-2.46,-10.08,2023
1951,Alexandre-Pato-2022-1,420,19.77,5.09,-10.1,2022
1952,Caleb-Wiley-2022-1,721,16.81,0.1,-10.18,2022
1953,Freddy-Vargas-2021-1,208,17.43,0.86,-10.18,2021
1954,Griffin-Yow-2021-1,100,19.02,4.25,-10.26,2021
1955,Kevin-Cabral-2022-1,535,15.63,-1.83,-10.27,2022
1956,Ashtone-Morgan-2021-1,196,20.82,4.97,-10.29,2021
1957,Christian-Ramirez-2023-1,347,14.05,2.15,-10.3,2023
1958,Zachary-Brault-Guillard-2021-1,1066,17.68,-1.13,-10.34,2021
1959,Pablo-Ruiz-2021-1,1263,22.77,6.15,-10.34,2021
1960,Cory-Burke-2022-1,264,16.36,3.49,-10.35,2022
1961,Joseph-Mora-2021-1,671,19.21,7.34,-10.37,2021
1962,Carlos-Terán-2021-1,564,25.55,12.59,-10.37,2021
1963,Cole-Bassett-2021-1,931,18.21,2.34,-10.44,2021
1964,Lucas-Esteves-2022-1,1094,19.53,2.15,-10.45,2022
1965,Khiry-Shelton-2021-1,506,14.82,-2.26,-10.47,2021
1966,Luiz-Araújo-2023-1,535,20.03,-0.06,-10.54,2023
1967,Jozy-Altidore-2022-1,175,15.35,0.62,-10.62,2022
1968,Yordy-Reyna-2021-1,314,17.35,2.14,-10.72,2021
1969,Sean-Johnson-2023-1,625,35.83,27.68,-10.73,2023
1970,Duncan-McGuire-2023-1,239,13.79,-1.23,-10.73,2023
1971,Wilfrid-Kaptoum-2022-1,525,18.7,3.13,-10.73,2022
1972,Jáder-Obrian-2023-1,489,13.55,0.92,-10.74,2023
1973,Sean-Nealis-2023-1,1240,20.3,8.63,-10.85,2023
1974,Alejandro-Bedoya-2021-1,1313,16.68,3.0,-10.89,2021
1975,Samuel-Adeniran-2023-1,166,15.1,-0.55,-10.92,2023
1976,Álvaro-Barreal-2021-1,829,20.36,1.83,-10.95,2021
1977,Esmir-Bajraktarevic-2023-1,169,16.03,-2.18,-10.96,2023
1978,Gustavo-Vallecilla-2023-1,614,20.96,7.99,-11.0,2023
1979,Corey-Baird-2022-1,371,14.93,-0.27,-11.0,2022
1980,Alan-Steven-Franco-2022-1,312,17.18,1.62,-11.02,2022
1981,Uri-Rosell-2022-1,552,21.35,3.59,-11.07,2022
1982,Tim-Melia-2023-1,463,38.15,28.88,-11.07,2023
1983,Tomás-Romero-2021-1,491,36.67,28.51,-11.1,2021
1984,Dylan-Nealis-2022-1,756,20.58,8.81,-11.13,2022
1985,Andrew-Brody-2021-1,532,18.31,2.55,-11.18,2021
1986,Kei-Kamara-2023-1,429,15.17,-1.18,-11.18,2023
1987,Diego-Rossi-2021-1,498,13.63,0.23,-11.28,2021
1988,Alex-Muyl-2021-1,579,17.64,3.21,-11.28,2021
1989,Adrien-Hunou-2021-1,506,14.93,-2.18,-11.35,2021
1990,Emmanuel-Más-2021-1,479,18.02,5.57,-11.39,2021
1991,Younes-Namli-2021-1,269,19.06,5.36,-11.4,2021
1992,Jayden-Nelson-2022-1,877,15.34,0.3,-11.43,2022
1993,Giacomo-Vrioni-2023-1,217,15.73,-1.93,-11.43,2023
1994,Richie-Laryea-2023-1,1288,17.41,3.16,-11.43,2023
1995,Nani-2021-1,1077,19.03,2.57,-11.5,2021
1996,Facundo-Farías-2023-1,422,18.3,1.43,-11.59,2023
1997,Tom-Barlow-2021-1,152,12.07,-1.9,-11.6,2021
1998,José-Antonio-Martínez-2022-1,1920,24.44,9.4,-11.62,2022
1999,Alex-Gersbach-2023-1,123,17.23,3.32,-11.63,2023
2000,Luis-Amarilla-2023-1,261,14.09,0.31,-11.64,2023
