,Season,Player,Team,Minutes,Shots Faced,Goals Conceded,Saves,Player_ID,Count
131,2023,Sean-Johnson,TOR,1865,74,21,51,Sean-Johnson-2023-1,1
132,2021,Thomas-Hasal,VAN,679,35,14,20,Thomas-Hasal-2021-1,1
133,2023,Mason-Stajduhar,ORL,295,15,6,9,Mason-Stajduhar-2023-1,1
134,2021,Hunter-Sulte,POR,127,8,5,3,Hunter-Sulte-2021-1,1
135,2023,Spencer-Richey,CHI,485,17,7,10,Spencer-Richey-2023-1,1
136,2021,Dayne-St.-Clair,MIN,395,21,10,11,Dayne-St.-Clair-2021-1,1
137,2021,Jonathan-Bond,LAG,3069,171,48,121,Jonathan-Bond-2021-1,1
138,2021,John-Pulskamp,SKC,584,20,7,13,John-Pulskamp-2021-1,1
139,2023,Carlos-Coronel,NYRB,3336,89,37,51,Carlos-Coronel-2023-1,1
140,2022,Alec-Kann,CIN,695,35,13,21,Alec-Kann-2022-1,1
141,2023,Yohei-Takaoka,VAN,3207,135,44,89,Yohei-Takaoka-2023-1,1
142,2021,Matt-Freese,PHI,560,22,7,15,Matt-Freese-2021-1,1
143,2022,Zac-MacMath,RSL,3361,150,45,102,Zac-MacMath-2022-1,1
144,2022,David-Ochoa,DCU,875,49,16,32,David-Ochoa-2022-1,1
145,2021,Chris-Seitz,DCU,389,18,6,11,Chris-Seitz-2021-1,1
146,2021,Brandon-Austin,ORL,501,16,8,8,Brandon-Austin-2021-1,1
147,2022,Andrew-Tarbell,ATX,397,22,7,15,Andrew-Tarbell-2022-1,1
148,2023,Drake-Callender,MIA,3328,173,50,121,Drake-Callender-2023-1,1
149,2023,Jimmy-Maurer,FCD,483,21,8,13,Jimmy-Maurer-2023-1,1
150,2021,Evan-Bush,CLB,396,13,6,7,Evan-Bush-2021-1,1
151,2021,Jimmy-Maurer,FCD,2331,114,36,76,Jimmy-Maurer-2021-1,1
152,2022,Roman-Celentano,CIN,2674,128,42,85,Roman-Celentano-2022-1,1
153,2021,Quentin-Westberg,TOR,967,58,22,35,Quentin-Westberg-2021-1,1
