,Player_ID,Season,Base Salary,Guaranteed Compensation
119,Luciano-Acosta-2022-1,2022,1943500.00,2222854.00
121,Brenner-2022-1,2022,1680000.00,2218600.00
123,Brenner-2023-1,2023,1680000.00,2218600.00
127,Alan-Pulido-2021-1,2021,2200000.00,2200000.00
131,Alan-Pulido-2023-1,2023,2200000.00,2200000.00
132,Luciano-Acosta-2023-1,2023,1943500.00,2166983.00
133,Emanuel-Reynoso-2023-1,2023,1600000.00,2151200.00
134,Carlos-Ferreira-2023-1,2023,1760000.00,2130200.00
135,Gustavo-Bou-2021-1,2021,2120000.00,2120000.00
137,Thiago-Martins-2023-1,2023,1650000.00,2112000.00
138,Raúl-Ruidíaz-2021-1,2021,2100000.00,2100000.00
140,Mateusz-Klich-2023-1,2023,1900000.00,2093588.00
141,Denis-Bouanga-2022-1,2022,2083333.00,2083333.00
142,Denis-Bouanga-2023-1,2023,2083333.00,2083333.00
143,Walker-Zimmerman-2023-1,2023,1800000.00,2056979.00
144,Ercan-Kara-2023-1,2023,1860000.00,2053601.00
145,Emiliano-Rigoni-2023-1,2023,1599996.00,2047996.00
146,Ryan-Gauld-2021-1,2021,1920000.00,2025000.00
147,Johnny-Russell-2022-1,2022,2000000.00,2000000.00
149,Jonathan-dos-Santos-2021-1,2021,2000000.00,2000000.00
151,Lucas-Zelarayán-2021-1,2021,1620000.00,1985000.00
153,Carlos-Ferreira-2022-1,2022,1600000.00,1970200.00
155,Yeferson-Soteldo-2021-1,2021,1500000.00,1965000.00
156,Thiago-Martins-2022-1,2022,1500000.00,1962000.00
158,Mikael-Uhre-2023-1,2023,1700000.00,1940000.00
159,Hany-Mukhtar-2022-1,2022,1637500.00,1926250.00
160,Albert-Rusnák-2022-1,2022,1800000.00,1871667.00
162,Albert-Rusnák-2023-1,2023,1800000.00,1871667.00
163,Ercan-Kara-2022-1,2022,1860000.00,1860000.00
165,Jesús-Ferreira-2023-1,2023,1650000.00,1852000.00
166,Mauricio-Pereyra-2021-1,2021,1800000.00,1848000.00
167,Giacomo-Vrioni-2023-1,2023,1600000.00,1847500.00
168,Yimmi-Chará-2022-1,2022,1500000.00,1803000.00
170,Yimmi-Chará-2023-1,2023,1500000.00,1803000.00
171,Kevin-Cabral-2023-1,2023,1800000.00,1800000.00
172,Darlington-Nagbe-2023-1,2023,1800000.00,1800000.00
174,Victor-Wanyama-2023-1,2023,1440000.00,1800000.00
