,Player_ID,Season,Player,TeamID,Minutes,Shots Faced,Goals Conceded,Saves
62,Tomás-Romero-2023-1,2023,Tomás-Romero,TOR2023,601,35,12,23
63,Patrick-Schulte-2023-1,2023,Patrick-Schulte,CLB2023,3035,133,41,89
64,Zac-MacMath-2023-1,2023,Zac-MacMath,RSL2023,2646,116,35,78
65,David-Bingham-2022-1,2022,David-Bingham,POR2022,197,13,3,10
66,Stefan-Cleveland-2023-1,2023,Stefan-Cleveland,SEA2023,203,8,4,4
67,Brad-Knighton-2022-1,2022,Brad-Knighton,NER2022,398,20,7,13
68,Maxime-Crépeau-2023-1,2023,Maxime-Crépeau,LAFC2023,600,15,5,10
69,Chris-Brady-2023-1,2023,Chris-Brady,CHI2023,2836,134,41,89
70,Sean-Johnson-2021-1,2021,Sean-Johnson,NYC2021,2861,115,30,84
71,Joe-Willis-2021-1,2021,Joe-Willis,NSH2021,3336,132,31,100
72,Tyler-Miller-2021-1,2021,Tyler-Miller,MIN2021,2958,134,32,101
73,Elliot-Panicco-2022-1,2022,Elliot-Panicco,NSH2022,194,10,3,7
74,Luis-Barraza-2021-1,2021,Luis-Barraza,NYC2021,505,12,5,7
75,Daniel-Vega-2021-1,2021,Daniel-Vega,SJE2021,99,1,1,0
76,Tyler-Miller-2022-1,2022,Tyler-Miller,MIN2022,245,11,3,8
77,Jimmy-Maurer-2022-1,2022,Jimmy-Maurer,FCD2022,203,8,3,5
78,Jamal-Blackman-2021-1,2021,Jamal-Blackman,LAFC2021,812,35,13,21
79,Marko-Maric-2021-1,2021,Marko-Maric,HOU2021,2188,104,32,68
80,Stefan-Cleveland-2021-1,2021,Stefan-Cleveland,SEA2021,1494,47,17,29
81,Clément-Diop-2023-1,2023,Clément-Diop,ATL2023,157,7,4,3
82,Eloy-Room-2023-1,2023,Eloy-Room,CLB2023,304,10,3,7
83,Nick-Marsman-2021-1,2021,Nick-Marsman,MIA2021,2111,101,31,68
84,Eldin-Jakupovic-2023-1,2023,Eldin-Jakupovic,LAFC2023,201,7,1,6
85,Jonathan-Klinsmann-2021-1,2021,Jonathan-Klinsmann,LAG2021,293,11,4,7
86,Raúl-Gudiño-2022-1,2022,Raúl-Gudiño,ATL2022,555,17,7,7
87,Joe-Willis-2023-1,2023,Joe-Willis,NSH2023,3104,125,29,94
88,Kendall-McIntosh-2022-1,2022,Kendall-McIntosh,SKC2022,190,10,2,8
89,Novak-Micovic-2023-1,2023,Novak-Micovic,LAG2023,98,6,2,4
90,Abraham-Rodriguez-2022-1,2022,Abraham-Rodriguez,COL2022,51,5,3,2
